Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1612339200000,2021-02-03 08:00:00,36054.1,35999.4,35900.0,39550.0,4.483,1612342799999,163523.3299,380,2.608,101459.2744,0
1612342800000,2021-02-03 09:00:00,39580.7,39618.2,31111.0,35700.8,311.120,1612346399999,11642375.4743,26657,145.326,5466462.2222,0
1612346400000,2021-02-03 10:00:00,35748.5,37237.0,35459.9,37073.8,49.690,1612349999999,1805885.8505,902,28.263,1024076.5296,0
1612350000000,2021-02-03 11:00:00,37041.7,37531.5,37041.7,37176.0,29.223,1612353599999,1090446.6336,857,15.099,563911.6896,0
1612353600000,2021-02-03 12:00:00,37164.6,37613.7,37016.5,37396.0,18.263,1612357199999,683065.8254,371,9.227,345161.9847,0
1612357200000,2021-02-03 13:00:00,37451.5,38129.6,37243.3,37918.3,20.328,1612360799999,767997.8250,341,9.633,364428.5198,0
1612360800000,2021-02-03 14:00:00,37843.3,38144.0,37696.3,37889.3,20.151,1612364399999,764069.8689,247,10.945,415228.2012,0
1612364400000,2021-02-03 15:00:00,37889.2,38361.8,37839.8,38274.9,16.755,1612367999999,637946.4560,223,9.985,380174.4757,0
1612368000000,2021-02-03 16:00:00,38316.6,38995.8,38080.5,38463.0,36.946,1612371599999,1421499.2082,612,16.863,649987.3200,0
1612371600000,2021-02-03 17:00:00,38463.0,38595.4,38278.4,38595.4,25.289,1612375199999,971161.5818,285,13.829,531195.6642,0
1612375200000,2021-02-03 18:00:00,38595.4,38626.4,38323.2,38549.0,15.160,1612378799999,583000.0237,200,7.808,300332.2755,0
1612378800000,2021-02-03 19:00:00,38549.0,38965.0,38278.6,38699.6,28.119,1612382399999,1085240.9915,296,14.532,561484.3784,0
1612382400000,2021-02-03 20:00:00,38696.9,38699.7,38289.6,38490.5,13.438,1612385999999,516949.6299,249,7.338,282324.9511,0
1612386000000,2021-02-03 21:00:00,38490.5,38796.8,38409.2,38738.4,17.890,1612389599999,690691.5321,243,9.706,374772.5190,0
1612389600000,2021-02-03 22:00:00,38738.4,38796.8,37426.1,38349.8,66.893,1612393199999,2550462.0644,1845,28.486,1083376.2286,0
1612393200000,2021-02-03 23:00:00,38349.7,38664.1,38315.0,38664.1,14.990,1612396799999,576309.7285,200,7.296,280572.3909,0
1612396800000,2021-02-04 00:00:00,38664.1,43820.2,38335.6,39800.0,145.036,1612400399999,5784618.0981,4063,80.194,3210543.2969,0
1612400400000,2021-02-04 01:00:00,39800.0,39877.5,39471.3,39716.3,13.411,1612403999999,532480.3377,216,7.027,279112.4610,0
1612404000000,2021-02-04 02:00:00,39716.3,39752.5,39307.7,39492.3,17.450,1612407599999,688969.6907,202,9.170,362137.1711,0
1612407600000,2021-02-04 03:00:00,39492.3,39554.8,38200.0,39073.0,43.985,1612411199999,1713808.8020,2373,14.755,576401.7060,0
1612411200000,2021-02-04 04:00:00,38967.0,38975.6,37600.0,38897.5,60.687,1612414799999,2332178.7864,1928,26.516,1022154.4408,0
1612414800000,2021-02-04 05:00:00,38902.5,39591.9,38538.9,38847.6,46.878,1612418399999,1833364.3931,1815,30.433,1193584.7045,0
1612418400000,2021-02-04 06:00:00,38851.7,39374.7,38818.8,39290.2,29.146,1612421999999,1140239.6933,299,11.039,432104.6607,0
1612422000000,2021-02-04 07:00:00,39259.6,39364.3,38692.6,38960.6,30.074,1612425599999,1175713.4599,298,18.188,712135.8255,0
1612425600000,2021-02-04 08:00:00,38945.5,40088.5,38783.8,39028.8,48.376,1612429199999,1911862.1059,683,33.268,1315212.8274,0
1612429200000,2021-02-04 09:00:00,39144.5,39466.7,38521.1,39032.4,22.446,1612432799999,876382.1446,457,12.717,496922.9897,0
1612432800000,2021-02-04 10:00:00,38944.2,39348.8,38594.9,39156.1,28.694,1612436399999,1118265.9482,326,8.416,328510.8470,0
1612436400000,2021-02-04 11:00:00,39115.1,39417.9,38830.9,38928.3,16.319,1612439999999,639034.6092,214,8.053,315455.9154,0
1612440000000,2021-02-04 12:00:00,38928.5,39209.7,37950.0,39110.6,36.622,1612443599999,1416647.5891,633,11.688,454539.7249,0
1612443600000,2021-02-04 13:00:00,39024.7,39119.9,38587.0,38937.5,22.768,1612447199999,885198.0272,287,9.025,351454.0480,0
1612447200000,2021-02-04 14:00:00,39039.5,39129.2,37660.5,38142.7,26.534,1612450799999,1019021.0343,385,10.367,400268.3498,0
1612450800000,2021-02-04 15:00:00,37864.3,38260.5,37445.4,37841.2,21.154,1612454399999,800717.6975,441,9.976,377966.9643,0
1612454400000,2021-02-04 16:00:00,37771.9,38246.0,37640.0,38207.0,17.219,1612457999999,653625.6664,291,9.441,358486.5614,0
1612458000000,2021-02-04 17:00:00,38160.1,38303.3,38005.0,38188.3,15.884,1612461599999,606484.8661,273,9.602,366636.6919,0
1612461600000,2021-02-04 18:00:00,38179.0,39014.6,38116.0,38450.0,24.867,1612465199999,958388.3289,356,16.298,628865.3370,0
1612465200000,2021-02-04 19:00:00,38450.0,39000.0,38313.2,38928.8,20.498,1612468799999,790470.1489,273,12.091,466400.8071,0
1612468800000,2021-02-04 20:00:00,38925.7,39245.3,38795.7,38993.0,16.187,1612472399999,630787.4408,314,7.322,285292.7212,0
1612472400000,2021-02-04 21:00:00,38993.5,39305.7,38743.3,39215.8,20.846,1612475999999,813114.0631,238,14.090,550187.7992,0
1612476000000,2021-02-04 22:00:00,39215.7,39215.7,38407.1,38670.6,17.339,1612479599999,671356.0158,301,8.967,347193.5212,0
1612479600000,2021-02-04 23:00:00,38668.9,38858.7,38257.3,38328.3,15.341,1612483199999,592010.6309,259,8.415,324826.3642,0
1612483200000,2021-02-05 00:00:00,38304.6,38635.6,38169.1,38413.3,13.612,1612486799999,523414.4284,304,6.153,236732.3533,0
1612486800000,2021-02-05 01:00:00,38409.7,38717.1,37883.8,38043.5,16.149,1612490399999,621479.6193,209,5.815,223934.8554,0
1612490400000,2021-02-05 02:00:00,38043.3,38409.3,37858.3,38397.9,12.628,1612493999999,481824.1840,182,5.097,194632.5349,0
1612494000000,2021-02-05 03:00:00,38382.1,38817.1,38252.2,38756.3,15.583,1612497599999,602059.9161,225,7.942,306784.0314,0
1612497600000,2021-02-05 04:00:00,38772.2,38944.9,38594.6,38722.9,12.011,1612501199999,465233.8938,194,5.607,217230.4505,0
1612501200000,2021-02-05 05:00:00,38724.1,38867.1,38456.1,38653.2,15.247,1612504799999,589473.9349,246,8.177,316270.5611,0
1612504800000,2021-02-05 06:00:00,38651.0,39198.7,38545.1,38883.3,17.950,1612508399999,696890.9989,266,6.595,256138.7008,0
1612508400000,2021-02-05 07:00:00,38893.4,39282.7,38877.6,39240.6,17.397,1612511999999,679707.3402,290,9.911,387161.7806,0
1612512000000,2021-02-05 08:00:00,39215.7,39562.1,38974.0,39278.9,14.656,1612515599999,574200.6994,222,6.762,265297.3333,0
1612515600000,2021-02-05 09:00:00,39277.7,39303.0,38728.0,38739.4,15.275,1612519199999,597086.5929,227,5.339,208754.5602,0
1612519200000,2021-02-05 10:00:00,38781.4,39221.0,38700.0,38925.7,16.641,1612522799999,648490.7052,266,9.379,365445.5180,0
1612522800000,2021-02-05 11:00:00,38888.1,39258.3,38877.6,39192.7,20.165,1612526399999,788286.2919,239,11.830,462432.1864,0
1612526400000,2021-02-05 12:00:00,39238.6,39765.8,39059.3,39406.9,13.307,1612529999999,524362.7888,220,5.906,232703.7600,0
1612530000000,2021-02-05 13:00:00,39378.9,39953.0,39377.7,39900.1,17.720,1612533599999,700600.8287,268,8.146,322154.3425,0
1612533600000,2021-02-05 14:00:00,39938.8,39955.4,39545.5,39601.5,17.518,1612537199999,695311.7061,225,8.931,354463.4988,0
1612537200000,2021-02-05 15:00:00,39614.4,39851.2,39397.4,39536.3,18.776,1612540799999,744141.9878,241,9.692,384378.1320,0
1612540800000,2021-02-05 16:00:00,39525.9,39770.0,38988.5,39322.3,20.548,1612544399999,811782.2708,250,10.283,406545.0709,0
1612544400000,2021-02-05 17:00:00,39329.3,39522.9,39223.1,39403.1,18.008,1612547999999,709113.3646,202,8.447,332764.6775,0
1612548000000,2021-02-05 18:00:00,39438.2,39438.2,38860.0,38912.9,15.876,1612551599999,622412.6885,201,7.868,308710.4555,0
1612551600000,2021-02-05 19:00:00,38930.0,39212.5,38869.4,39193.7,16.827,1612555199999,657150.2743,270,7.945,310477.8084,0
1612555200000,2021-02-05 20:00:00,39185.8,39281.9,39121.8,39275.4,13.743,1612558799999,539099.3778,157,6.301,247191.3767,0
1612558800000,2021-02-05 21:00:00,39262.9,39455.0,39246.1,39332.7,13.270,1612562399999,521727.8449,153,6.239,245330.4952,0
1612562400000,2021-02-05 22:00:00,39322.0,39468.6,39116.2,39258.7,15.730,1612565999999,618714.5573,306,7.445,292865.0447,0
1612566000000,2021-02-05 23:00:00,39266.4,39864.0,39249.5,39848.1,14.773,1612569599999,583073.0750,200,7.404,292237.2471,0
1612569600000,2021-02-06 00:00:00,39876.5,40454.5,39732.1,40337.8,17.477,1612573199999,700878.2497,434,7.875,316225.9816,0
1612573200000,2021-02-06 01:00:00,40371.9,41207.9,39437.6,40380.8,47.432,1612576799999,1918377.9536,789,25.095,1019007.4641,0
1612576800000,2021-02-06 02:00:00,40300.6,41176.1,40176.5,41017.8,17.082,1612580399999,695229.3665,361,9.609,391136.8849,0
1612580400000,2021-02-06 03:00:00,41037.6,41679.5,40842.6,41074.5,23.024,1612583999999,947013.4773,405,11.625,478386.3935,0
1612584000000,2021-02-06 04:00:00,41033.6,41100.1,40539.9,40872.9,19.708,1612587599999,805988.6361,397,8.394,343720.2276,0
1612587600000,2021-02-06 05:00:00,40912.5,40955.7,40447.3,40675.6,14.998,1612591199999,610448.1812,459,8.160,332164.8843,0
1612591200000,2021-02-06 06:00:00,40718.6,41082.0,40665.0,40948.1,17.232,1612594799999,704804.3235,368,9.349,382378.1833,0
1612594800000,2021-02-06 07:00:00,40856.5,41144.7,40825.7,41053.8,12.538,1612598399999,513417.8275,174,6.523,267121.2876,0
1612598400000,2021-02-06 08:00:00,41095.0,41476.9,40971.5,41043.5,17.483,1612601999999,720095.8461,322,7.892,325048.6353,0
1612602000000,2021-02-06 09:00:00,41036.9,41660.4,41036.9,41660.4,17.615,1612605599999,728310.8322,384,9.449,390726.5742,0
1612605600000,2021-02-06 10:00:00,41567.5,41858.5,41182.8,41775.7,15.887,1612609199999,660026.4267,318,9.191,381843.5454,0
1612609200000,2021-02-06 11:00:00,41797.0,42266.0,41738.4,41814.4,23.735,1612612799999,995031.0725,456,12.862,539607.1788,0
1612612800000,2021-02-06 12:00:00,41811.8,42185.9,41568.8,41607.6,19.634,1612616399999,821742.8463,325,9.540,399597.7985,0
1612616400000,2021-02-06 13:00:00,41607.0,42061.1,41566.3,41913.1,16.654,1612619999999,696801.3666,413,9.299,389359.8722,0
1612620000000,2021-02-06 14:00:00,41910.0,42425.3,41835.2,41956.0,17.383,1612623599999,731608.2860,337,6.910,290977.8543,0
1612623600000,2021-02-06 15:00:00,41958.4,42727.3,41921.4,42495.2,18.405,1612627199999,778098.6177,302,8.741,369787.6870,0
1612627200000,2021-02-06 16:00:00,42535.5,42661.0,42162.7,42322.2,14.794,1612630799999,626912.4582,266,7.387,313140.6473,0
1612630800000,2021-02-06 17:00:00,42289.8,42381.3,41920.0,41920.0,17.092,1612634399999,720803.8138,331,8.858,373600.0369,0
1612634400000,2021-02-06 18:00:00,41928.6,42200.3,41743.6,42136.2,16.491,1612637999999,692423.8000,259,9.156,384296.2929,0
1612638000000,2021-02-06 19:00:00,42136.3,42270.9,41838.0,42064.2,17.833,1612641599999,750118.9427,373,7.192,302730.3594,0
1612641600000,2021-02-06 20:00:00,42047.4,42047.4,41339.6,41975.4,14.866,1612645199999,620497.3730,353,8.358,348795.7030,0
1612645200000,2021-02-06 21:00:00,42016.0,42219.5,41962.4,42049.0,12.567,1612648799999,528763.2261,226,6.438,270901.7192,0
1612648800000,2021-02-06 22:00:00,41970.9,42386.0,41878.5,42017.5,16.571,1612652399999,698961.6859,246,7.749,326888.4462,0
1612652400000,2021-02-06 23:00:00,41973.3,41973.3,41033.9,41245.1,26.835,1612655999999,1108968.3517,600,9.914,410415.0223,0
1612656000000,2021-02-07 00:00:00,41240.3,41642.5,40477.2,41591.5,15.893,1612659599999,655666.4568,907,7.701,317628.4286,0
