Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,,Open time,Day,Open,High,Low,Close,Volume,,spot,,basis,Days,tenor,r-q,,,,,,,,
1.62E+12,16/3/2021 7:00,59114.2,59286.4,58846.7,59284.3,12.438,1.62E+12,735400.5998,128,5.159,304958.6851,0,,1.50E+12,17/8/2017 4:00,4261.48,4313.62,4261.32,4308.83,47.181009,1,55239.81,,1.073216943,101.0416667,0.276826484,0.255252407,,,,25/6/2021 8:00,,,,
1.62E+12,16/3/2021 8:00,59242.2,60067,59200.5,59714.4,18.11,1.62E+12,1080306.35,200,8.757,522563.7174,0,,1.50E+12,17/8/2017 5:00,4308.83,4328.69,4291.37,4315.32,23.234916,1,55894.27,1.011847615,1.068345646,101,0.276712329,0.238917172,-0.016335235,#N/A,,55894.27,1.011847615,0.238917172,-0.006742005,0.845565981
1.62E+12,16/3/2021 9:00,59714.9,60067.1,59489.6,59576.1,17.462,1.62E+12,1042382.37,201,8.299,495456.5547,0,,1.50E+12,17/8/2017 6:00,4330.29,4345.45,4309.37,4324.35,7.229691,1,55870.43,0.99957348,1.066326141,100.9583333,0.276598174,0.232175167,-0.006742005,,,55870.43,0.99957348,0.232175167,-0.000775251,0.017124185
1.62E+12,16/3/2021 10:00,59562.8,59757.1,59384.5,59492,17.355,1.62E+12,1032876.682,195,6.356,378325.8032,0,,1.50E+12,17/8/2017 7:00,4316.62,4349.99,4287.41,4349.99,4.443249,1,55805,0.998828898,1.066069349,100.9166667,0.276484018,0.231399916,-0.000775251,,,55805,0.998828898,0.231399916,0.002520405,
1.62E+12,16/3/2021 11:00,59501.1,59669.9,59095.5,59175.8,17.23,1.62E+12,1022338.221,194,8.094,480314.741,0,,1.50E+12,17/8/2017 8:00,4333.32,4377.85,4333.32,4360.69,0.972807,1,55471.21,0.994018636,1.066784013,100.875,0.276369863,0.233920321,0.002520405,,,55471.21,0.994018636,0.233920321,-0.008586602,
1.62E+12,16/3/2021 12:00,59150.6,59490.2,58420.1,58630.4,19.703,1.62E+12,1161943.764,222,8.466,498942.9482,0,,1.50E+12,17/8/2017 9:00,4360,4445.78,4360,4444,10.763623,1,55091.95,0.99316294,1.064228077,100.8333333,0.276255708,0.225333719,-0.008586602,,,55091.95,0.99316294,0.225333719,0.004323929,
1.62E+12,16/3/2021 13:00,58486.4,59277,58420.1,58946.5,17.103,1.62E+12,1007999.194,198,9.167,540329.0854,0,,1.50E+12,17/8/2017 10:00,4441.1,4470,4399.81,4460,24.865399,1,55324.3,1.004217495,1.065472134,100.7916667,0.276141553,0.229657648,0.004323929,,,55324.3,1.004217495,0.229657648,-0.00865888,
1.62E+12,16/3/2021 14:00,58963.5,59274.4,58879.7,59146.1,18.447,1.62E+12,1090703.089,187,8.818,521461.5957,0,,1.50E+12,17/8/2017 11:00,4460,4485.39,4427.3,4427.3,27.018053,1,55645.93,1.005813539,1.062900737,100.75,0.276027397,0.220998768,-0.00865888,,,55645.93,1.005813539,0.220998768,-0.003708842,
1.62E+12,16/3/2021 15:00,59170.6,59338.5,59019.6,59295.4,19.322,1.62E+12,1143169.186,219,10.041,594108.4722,0,,1.50E+12,17/8/2017 12:00,4436.06,4449.56,4411,4411,23.032398,1,55844.92,1.003576003,1.06178682,100.7083333,0.275913242,0.217289926,-0.003708842,,,55844.92,1.003576003,0.217289926,0.016794056,
1.62E+12,16/3/2021 16:00,59292.2,59613.4,59090.1,59369.7,17.96,1.62E+12,1065862.826,200,9.299,551779.8606,0,,1.50E+12,17/8/2017 13:00,4411,4459,4411,4459,31.312436,1,55657.89,0.996650904,1.066689736,100.6666667,0.275799087,0.234083982,0.016794056,,,55657.89,0.996650904,0.234083982,-0.004228293,
1.62E+12,16/3/2021 17:00,59385.7,59547.4,58789,58864.6,17.282,1.62E+12,1021950.426,193,8.223,486321.0144,0,,1.50E+12,17/8/2017 14:00,4459,4485.39,4435.93,4470.82,51.735897,1,55250.21,0.992675252,1.065418575,100.625,0.275684932,0.229855689,-0.004228293,,,55250.21,0.992675252,0.229855689,0.012393396,
1.62E+12,16/3/2021 18:00,58868.5,59202.3,58834.5,59171.1,17.586,1.62E+12,1037875.961,192,8.624,509015.1883,0,,1.50E+12,17/8/2017 15:00,4470.82,4470.82,4333.42,4352.34,68.48127,1,55349.99,1.001805966,1.069035423,100.5833333,0.275570776,0.242249085,0.012393396,,,55349.99,1.001805966,0.242249085,-0.023318426,
1.62E+12,16/3/2021 19:00,59165.1,59399.7,58936.7,59195.7,18.001,1.62E+12,1064488.3,232,7.862,464889.2812,0,,1.50E+12,17/8/2017 16:00,4352.33,4354.35,4255.3,4354.18,67.458791,1,55731.36,1.006890155,1.062161411,100.5416667,0.275456621,0.218930659,-0.023318426,,,55731.36,1.006890155,0.218930659,0.019102777,
1.62E+12,16/3/2021 20:00,59242.1,60228.5,59191.4,60191.6,18.855,1.62E+12,1128500.953,207,7.945,475725.9722,0,,1.50E+12,17/8/2017 17:00,4354.18,4354.84,4235.45,4289.24,59.664912,1,56373.1,1.011514881,1.067736208,100.5,0.275342466,0.238033436,0.019102777,,,56373.1,1.011514881,0.238033436,-0.007929053,
1.62E+12,16/3/2021 21:00,60226.9,60415.4,59927.4,60140.8,14.16,1.62E+12,851979.3879,175,7.241,435729.8363,0,,1.50E+12,17/8/2017 18:00,4289.24,4302.45,4218.68,4256.97,51.275163,1,56450.11,1.001366077,1.065379678,100.4583333,0.275228311,0.230104383,-0.007929053,,,56450.11,1.001366077,0.230104383,0.013053403,
1.62E+12,16/3/2021 22:00,60200,60609,60110.9,60134.6,18.156,1.62E+12,1095909.055,201,12.204,736719.5585,0,,1.50E+12,17/8/2017 19:00,4241.91,4335.3,4200.74,4325.23,46.71085,1,56243.43,0.996338714,1.069184436,100.4166667,0.275114155,0.243157786,0.013053403,,,56243.43,0.996338714,0.243157786,-0.008210644,
1.62E+12,16/3/2021 23:00,60022.7,60698.5,59821.1,60698.5,19.368,1.62E+12,1165392.402,190,10.811,650745.1443,0,,1.50E+12,17/8/2017 20:00,4307.56,4354.84,4258.56,4346.74,48.975472,1,56900.75,1.011687054,1.066743408,100.375,0.275,0.234947142,-0.008210644,,,56900.75,1.011687054,0.234947142,0.004263868,
1.62E+12,17/3/2021 0:00,60789.5,61072.9,60138.8,60359.9,27.104,1.62E+12,1638252.548,195,7.033,424228.0193,0,,1.50E+12,17/8/2017 21:00,4346.74,4369.69,4309.23,4333.55,61.773036,1,56518.57,0.993283393,1.067965803,100.3333333,0.274885845,0.23921101,0.004263868,,,56518.57,0.993283393,0.23921101,-0.006854777,
1.62E+12,17/3/2021 1:00,60315.6,60327.7,59482.9,59994,19.687,1.62E+12,1181903.277,215,7.966,478774.5604,0,,1.50E+12,17/8/2017 22:00,4333.55,4359.13,4310,4336.8,57.376142,1,56283.4,0.995839067,1.065927076,100.2916667,0.274771689,0.232356233,-0.006854777,,,56283.4,0.995839067,0.232356233,0.005319481,
1.62E+12,17/3/2021 2:00,59989.3,59989.3,59235.1,59540.3,20.458,1.62E+12,1219927.547,206,12.261,731220.68,0,,1.50E+12,17/8/2017 23:00,4313.39,4337.38,4280.82,4285.08,81.645263,1,55777.69,0.991014935,1.067457258,100.25,0.274657534,0.237675714,0.005319481,,,55777.69,0.991014935,0.237675714,-0.001864473,
1.62E+12,17/3/2021 3:00,59500,59872.5,59200,59218.6,19.349,1.62E+12,1153555.986,182,12.289,732972.7695,0,,1.50E+12,18/8/2017 0:00,4285.08,4340.62,4228.76,4286.53,82.435474,1,55506.23,0.99513318,1.066882042,100.2083333,0.274543379,0.235811241,-0.001864473,,,55506.23,0.99513318,0.235811241,-4.5913E-05,
1.62E+12,17/3/2021 4:00,59205.8,59617.2,59205.5,59283.3,18.242,1.62E+12,1083323.437,182,9.439,560495.7086,0,,1.50E+12,18/8/2017 1:00,4269.36,4269.36,4134.61,4243.59,75.684883,1,55569.07,1.001132125,1.066839881,100.1666667,0.274429224,0.235765328,-4.5913E-05,,,55569.07,1.001132125,0.235765328,0.009018757,
