symbol,fundingTime,fundingRate,Day
BTCUSDT,1568102400000,0.00010000,2019-09-10 08:00:00
BTCUSDT,1568131200000,0.00010000,2019-09-10 16:00:00
BTCUSDT,1568160000000,0.00010000,2019-09-11 00:00:00
BTCUSDT,1568188800000,0.00010000,2019-09-11 08:00:00
BTCUSDT,1568217600000,0.00010000,2019-09-11 16:00:00
BTCUSDT,1568246400000,0.00010000,2019-09-12 00:00:00
BTCUSDT,1568275200000,0.00010000,2019-09-12 08:00:00
BTCUSDT,1568304000000,0.00010000,2019-09-12 16:00:00
BTCUSDT,1568332800000,0.00010000,2019-09-13 00:00:00
BTCUSDT,1568361600000,0.00010000,2019-09-13 08:00:00
BTCUSDT,1568390400000,0.00010000,2019-09-13 16:00:00
BTCUSDT,1568419200000,0.00010000,2019-09-14 00:00:00
BTCUSDT,1568448000000,0.00010000,2019-09-14 08:00:00
BTCUSDT,1568476800000,0.00010000,2019-09-14 16:00:00
BTCUSDT,1568505600000,0.00010000,2019-09-15 00:00:00
BTCUSDT,1568534400000,0.00010000,2019-09-15 08:00:00
BTCUSDT,1568563200000,0.00010000,2019-09-15 16:00:00
BTCUSDT,1568592000000,0.00010000,2019-09-16 00:00:00
BTCUSDT,1568620800000,0.00010000,2019-09-16 08:00:00
BTCUSDT,1568649600000,0.00010000,2019-09-16 16:00:00
BTCUSDT,1568678400000,0.00010000,2019-09-17 00:00:00
BTCUSDT,1568707200000,0.00010000,2019-09-17 08:00:00
BTCUSDT,1568736000000,0.00010000,2019-09-17 16:00:00
BTCUSDT,1568764800000,0.00010000,2019-09-18 00:00:00
BTCUSDT,1568793600000,0.00010000,2019-09-18 08:00:00
BTCUSDT,1568822400000,0.00010000,2019-09-18 16:00:00
BTCUSDT,1568851200000,0.00010000,2019-09-19 00:00:00
BTCUSDT,1568880000000,0.00010000,2019-09-19 08:00:00
BTCUSDT,1568908800000,0.00010000,2019-09-19 16:00:00
BTCUSDT,1568937600000,0.00010000,2019-09-20 00:00:00
BTCUSDT,1568966400000,0.00010000,2019-09-20 08:00:00
BTCUSDT,1568995200000,0.00010000,2019-09-20 16:00:00
BTCUSDT,1569024000000,0.00010000,2019-09-21 00:00:00
BTCUSDT,1569052800000,0.00010000,2019-09-21 08:00:00
BTCUSDT,1569081600000,0.00010000,2019-09-21 16:00:00
BTCUSDT,1569110400000,0.00010000,2019-09-22 00:00:00
BTCUSDT,1569139200000,0.00010000,2019-09-22 08:00:00
BTCUSDT,1569168000000,0.00010000,2019-09-22 16:00:00
BTCUSDT,1569196800000,0.00010000,2019-09-23 00:00:00
BTCUSDT,1569225600000,0.00010000,2019-09-23 08:00:00
BTCUSDT,1569254400000,0.00010000,2019-09-23 16:00:00
BTCUSDT,1569283200000,0.00010000,2019-09-24 00:00:00
BTCUSDT,1569312000000,0.00010000,2019-09-24 08:00:00
