Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,,spot,,basis,fundingRate,,,,,
1.57E+12,9/8/2019 17:00,10000,10000,10000,10000,0.002,1.57E+12,20,2,0.001,10,0,,10363.06,-363.0600036,0.964965946,0,0,1,-34.62462028,,1.000269114
1.57E+12,9/8/2019 18:00,10000,10000,10000,10000,0,1.57E+12,0,0,0,0,0,,10331,-331.0000022,0.967960507,0,0,1,-31.68761648,,0.001019597
1.57E+12,9/8/2019 19:00,10344.77,10357.53,10337.43,10340.12,471.659,1.57E+12,4879792.356,562,0,0,0,,10340.06,0.060003368,1.000005803,0,0,1,-0.258249664,,
1.57E+12,9/8/2019 20:00,10340.12,10368.64,10334.54,10351.42,583.271,1.57E+12,6037732.626,731,0.034,351.97117,0,,10359.3,-7.879998372,0.999239331,0,0,1,-1.009989628,,
1.57E+12,9/8/2019 21:00,10351.42,10391.9,10324.77,10391.9,689.759,1.57E+12,7136798.505,827,0.004,41.385,0,,10409.96,-18.06000017,0.998265123,0,0,1,-1.965472785,,
1.57E+12,9/8/2019 22:00,10392.59,10412.65,10375.58,10375.58,675.394,1.57E+12,7020272.88,821,0,0,0,,10378.09,-2.510003335,0.999758144,0,0,1,-0.501148515,,
1.57E+12,9/8/2019 23:00,10375.58,10392.25,10366.57,10391.63,676.206,1.57E+12,7021684.083,811,0,0,0,,10381.18,10.44999684,1.001006629,0,0,0,0.723339879,,
1.57E+12,9/9/2019 0:00,10391.63,10391.63,10391.63,10391.63,0,1.57E+12,0,0,0,0,0,,10388.03,3.600002961,1.000346553,0,0,0,0.075950923,,
1.57E+12,9/9/2019 1:00,10391.63,10391.63,10391.63,10391.63,0,1.57E+12,0,0,0,0,0,,10375.35,16.28000319,1.001569104,0,1,0,1.275003783,,
1.57E+12,9/9/2019 2:00,10316.62,10316.65,10294.29,10296.04,96.462,1.57E+12,994913.5783,112,0,0,0,,10300.94,-4.900002644,0.999524315,0,0,1,-0.730483186,,
1.57E+12,9/9/2019 3:00,10295.81,10316.68,10267.37,10297.89,682.987,1.57E+12,7035936.525,789,0,0,0,,10298.96,-1.07000015,0.999896106,0,0,1,-0.365838224,,
1.57E+12,9/9/2019 4:00,10297.89,10316.33,10251.51,10316.3,680.278,1.57E+12,6998829.868,800,0,0,0,,10320.14,-3.840000252,0.999627912,0,0,1,-0.62887738,,
1.57E+12,9/9/2019 5:00,10316.3,10316.34,10299.8,10304.32,671.524,1.57E+12,6923746.528,838,0.001,10.30921,0,,10307.39,-3.070004575,0.999702155,0,0,1,-0.556061374,,
1.57E+12,9/9/2019 6:00,10304.32,10305.51,10252.36,10256.09,680.52,1.57E+12,7000049.213,787,0,0,0,,10266.89,-10.79999826,0.998948075,0,0,1,-1.295647518,,
1.57E+12,9/9/2019 7:00,10260.16,10273.71,10092.71,10149.47,632.467,1.57E+12,6444656.974,694,0,0,0,,10147.36,2.110001449,1.000207936,0,0,1,-0.060001778,,
1.57E+12,9/9/2019 8:00,10149.47,10170.74,10077.22,10147.84,1160.043,1.57E+12,11767567.6,1376,0.001,10.1569,0,,10149.96,-2.120001845,0.999791132,0,0,1,-0.468794563,,
