Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1615878000000,2021-03-16 07:00:00,1956.38,1956.38,1924.61,1937.83,25.006,1615881599999,48350.98637,151,12.779,24718.39118,0
1615881600000,2021-03-16 08:00:00,1938.27,1953.16,1937.57,1945.18,30.589,1615885199999,59536.77197,174,15.358,29894.24395,0
1615885200000,2021-03-16 09:00:00,1945.15,1949.71,1941.92,1945.05,16.943,1615888799999,32951.17718,170,7.832,15231.33126,0
1615888800000,2021-03-16 10:00:00,1945.15,1948.88,1928.56,1931.43,22.352,1615892399999,43323.54804,189,9.185,17794.96615,0
1615892400000,2021-03-16 11:00:00,1931.40,1933.23,1915.74,1926.93,23.814,1615895999999,45867.29772,194,9.017,17370.89241,0
1615896000000,2021-03-16 12:00:00,1926.93,1928.52,1887.50,1902.09,29.265,1615899599999,55938.75172,217,16.707,31915.64139,0
1615899600000,2021-03-16 13:00:00,1902.78,1918.80,1888.17,1909.96,77.810,1615903199999,148060.54097,230,39.874,76069.82835,0
1615903200000,2021-03-16 14:00:00,1910.00,1915.35,1896.69,1912.91,36.875,1615906799999,70394.44711,187,19.755,37752.17572,0
1615906800000,2021-03-16 15:00:00,1912.89,1937.93,1912.80,1928.78,45.423,1615910399999,87569.66516,202,35.396,68334.64127,0
1615910400000,2021-03-16 16:00:00,1928.82,1935.77,1917.36,1919.42,33.349,1615913999999,64226.70607,202,13.478,25955.80027,0
1615914000000,2021-03-16 17:00:00,1919.85,1923.36,1901.80,1901.80,26.765,1615917599999,51140.79798,206,14.901,28442.09323,0
1615917600000,2021-03-16 18:00:00,1901.81,1901.81,1894.91,1896.58,11.258,1615921199999,21404.22658,18,5.928,11272.63178,0
1615921200000,2021-03-16 19:00:00,1896.19,1901.81,1889.48,1900.90,25.380,1615924799999,48118.05307,202,11.512,21834.12215,0
1615924800000,2021-03-16 20:00:00,1900.87,1919.95,1899.22,1919.16,25.629,1615928399999,49004.10961,190,16.615,31747.92937,0
1615928400000,2021-03-16 21:00:00,1919.91,1921.33,1914.49,1914.51,24.323,1615931999999,46639.69783,194,9.577,18374.44569,0
1615932000000,2021-03-16 22:00:00,1914.51,1918.87,1904.30,1915.76,15.761,1615935599999,30122.51355,133,5.568,10653.77150,0
1615935600000,2021-03-16 23:00:00,1914.63,1921.48,1910.92,1921.23,27.017,1615939199999,51776.41611,179,17.989,34474.04008,0
1615939200000,2021-03-17 00:00:00,1921.57,1932.00,1907.03,1910.71,24.584,1615942799999,47068.52429,171,11.991,22986.79236,0
1615942800000,2021-03-17 01:00:00,1910.57,1914.57,1908.21,1910.06,147.952,1615946399999,282764.23042,186,139.210,266060.77201,0
1615946400000,2021-03-17 02:00:00,1910.08,1911.16,1908.18,1908.71,18.427,1615949999999,35180.31466,204,8.226,15705.85456,0
1615950000000,2021-03-17 03:00:00,1908.69,1908.69,1908.18,1908.18,4.995,1615953599999,9533.00388,54,2.175,4151.02098,0
1615953600000,2021-03-17 04:00:00,1908.18,1908.20,1908.18,1908.18,0.462,1615957199999,881.58110,6,0.147,280.50440,0
