date,open,high,low,close
2017-11-06 03:00:00.000,1.5,1.799,0.5,1.7
2017-11-06 04:00:00.000,1.3,1.65,1.3,1.6479
2017-11-06 05:00:00.000,1.5457,1.5525,1.5455,1.5458
2017-11-06 06:00:00.000,1.5458,1.681,1.5387,1.681
2017-11-06 07:00:00.000,1.6809,1.6809,1.6,1.625
2017-11-06 08:00:00.000,1.6011,1.6379,1.601,1.6378
2017-11-06 09:00:00.000,1.602,1.6366,1.58,1.6366
2017-11-06 10:00:00.000,1.601,1.6479,1.6,1.6479
2017-11-06 11:00:00.000,1.6479,1.676,1.6288,1.6288
2017-11-06 12:00:00.000,1.6288,1.6288,1.5803,1.5804
2017-11-06 13:00:00.000,1.6,1.6,1.5804,1.6
2017-11-06 14:00:00.000,1.5805,1.61,1.5645,1.61
2017-11-06 15:00:00.000,1.6098,1.6148,1.5908,1.6148
2017-11-06 16:00:00.000,1.6148,1.631,1.6148,1.6148
2017-11-06 17:00:00.000,1.6108,1.627,1.57,1.5829
2017-11-06 18:00:00.000,1.5868,1.6028,1.5645,1.5908
2017-11-06 19:00:00.000,1.6028,1.6028,1.571,1.5868
2017-11-06 20:00:00.000,1.5948,1.598,1.5763,1.5789
2017-11-06 21:00:00.000,1.5711,1.5868,1.556,1.571
2017-11-06 22:00:00.000,1.5789,1.5868,1.55,1.5631
2017-11-06 23:00:00.000,1.5553,1.577,1.5553,1.571
2017-11-07 00:00:00.000,1.571,1.5948,1.545,1.571
2017-11-07 01:00:00.000,1.5789,1.5789,1.5389,1.5389
2017-11-07 02:00:00.000,1.5389,1.5389,1.5389,1.5389
2017-11-07 03:00:00.000,1.58,1.6188,1.55,1.6188
2017-11-07 04:00:00.000,1.6184,1.6188,1.5548,1.5705
2017-11-07 05:00:00.000,1.5705,1.602,1.5705,1.602
2017-11-07 06:00:00.000,1.59,1.59,1.5705,1.5705
2017-11-07 07:00:00.000,1.5705,1.5705,1.5705,1.5705
2017-11-07 08:00:00.000,1.59,1.595,1.58,1.5949
2017-11-07 09:00:00.000,1.588,1.588,1.5548,1.5864
2017-11-07 10:00:00.000,1.5864,1.5864,1.565,1.5864
2017-11-07 11:00:00.000,1.5864,1.6184,1.5705,1.5864
2017-11-07 12:00:00.000,1.6183,1.6266,1.6,1.6103
2017-11-07 13:00:00.000,1.6103,1.6103,1.5801,1.5942
2017-11-07 14:00:00.000,1.6023,1.7,1.6023,1.6999
2017-11-07 15:00:00.000,1.689,1.7885,1.689,1.7353
2017-11-07 16:00:00.000,1.7191,1.7191,1.6593,1.7099
2017-11-07 17:00:00.000,1.7099,1.799,1.7099,1.7704
2017-11-07 18:00:00.000,1.7616,1.799,1.7288,1.799
2017-11-07 19:00:00.000,1.799,1.799,1.799,1.799
2017-11-07 20:00:00.000,1.79,1.7989,1.7634,1.7634
2017-11-07 21:00:00.000,1.7634,1.7634,1.7196,1.72
2017-11-07 22:00:00.000,1.7196,1.737,1.7196,1.737
2017-11-07 23:00:00.000,1.737,1.8,1.737,1.8
2017-11-08 00:00:00.000,1.7901,1.9,1.7479,1.8718
2017-11-08 01:00:00.000,1.8719,1.946,1.8,1.8013
2017-11-08 02:00:00.000,1.8025,1.8999,1.77,1.8113
2017-11-08 03:00:00.000,1.8,1.82,1.8,1.81
2017-11-08 04:00:00.000,1.8891,1.99,1.882,1.9
2017-11-08 05:00:00.000,1.882,1.9498,1.838,1.87
2017-11-08 06:00:00.000,1.8789,1.9486,1.8235,1.8513
2017-11-08 07:00:00.000,1.8616,1.988,1.8616,1.8631
2017-11-08 08:00:00.000,1.9448,1.9448,1.8763,1.8763
2017-11-08 09:00:00.000,1.8763,1.94,1.8757,1.935
2017-11-08 10:00:00.000,1.935,1.935,1.8998,1.8998
2017-11-08 11:00:00.000,1.8998,1.8999,1.8736,1.8736
2017-11-08 12:00:00.000,1.87,1.8998,1.821,1.821
2017-11-08 13:00:00.000,1.8211,1.8799,1.8211,1.8369
2017-11-08 14:00:00.000,1.8369,1.929,1.8368,1.8996
2017-11-08 15:00:00.000,1.899,1.93,1.869,1.93
2017-11-08 16:00:00.000,1.9249,1.9249,1.9234,1.9235
2017-11-08 17:00:00.000,1.93,1.95,1.849,1.93
2017-11-08 18:00:00.000,1.94,1.99,1.78,1.895
2017-11-08 19:00:00.000,1.895,1.9734,1.87,1.95
2017-11-08 20:00:00.000,1.91,1.99,1.9,1.95
2017-11-08 21:00:00.000,1.9779,1.9897,1.9,1.9
2017-11-08 22:00:00.000,1.9,1.9888,1.9,1.9887
2017-11-08 23:00:00.000,1.9001,1.9899,1.875,1.9889
2017-11-09 00:00:00.000,1.9781,1.9899,1.9,1.9251
2017-11-09 01:00:00.000,1.9255,1.9999,1.925,1.999
2017-11-09 02:00:00.000,1.998,1.999,1.931,1.989
2017-11-09 03:00:00.000,1.9889,2.05,1.9408,2.05
2017-11-09 04:00:00.000,1.96,2.0295,1.96,2.0294
2017-11-09 05:00:00.000,2.0294,2.0295,1.9761,2.0
2017-11-09 06:00:00.000,2.0,2.02,2.0,2.02
2017-11-09 07:00:00.000,2.0197,2.02,1.9808,2.0182
2017-11-09 08:00:00.000,2.0182,2.0497,2.0,2.0
2017-11-09 09:00:00.000,2.03,2.035,2.01,2.035
2017-11-09 10:00:00.000,2.02,2.0299,1.9704,2.0062
2017-11-09 11:00:00.000,2.0299,2.07,2.0,2.0001
2017-11-09 12:00:00.000,2.0599,2.0599,2.0118,2.0575
2017-11-09 13:00:00.000,2.0271,2.1,2.0252,2.066
2017-11-09 14:00:00.000,2.0661,2.15,2.066,2.14
2017-11-09 15:00:00.000,2.145,2.1997,2.0711,2.0711
2017-11-09 16:00:00.000,2.11,2.1289,2.091,2.091
2017-11-09 17:00:00.000,2.0912,2.11,2.08,2.11
2017-11-09 18:00:00.000,2.1289,2.1302,2.0921,2.0937
2017-11-09 19:00:00.000,2.0937,2.1297,2.0937,2.1294
2017-11-09 20:00:00.000,2.1279,2.1279,2.07,2.07
2017-11-09 21:00:00.000,2.06,2.1275,2.0201,2.0201
2017-11-09 22:00:00.000,2.0201,2.026,1.96,1.96
2017-11-09 23:00:00.000,1.9601,1.99,1.9,1.99
2017-11-10 00:00:00.000,1.99,2.02,1.9602,1.9602
2017-11-10 01:00:00.000,2.0189,2.0189,1.9881,1.9881
2017-11-10 02:00:00.000,1.9976,2.02,1.9,1.9052
2017-11-10 03:00:00.000,1.9101,1.97,1.9101,1.9498
