date,open,high,low,close
2020-08-18 23:00:00,2.09,4.44,2.0,3.1
2020-08-19 00:00:00,3.1,3.14,2.9738,3.105
2020-08-19 01:00:00,3.105,3.1299,3.0584,3.1063
2020-08-19 02:00:00,3.1082,3.1124,2.9,2.9628
2020-08-19 03:00:00,2.9631,3.0032,2.64,2.885
2020-08-19 04:00:00,2.885,3.068,2.811,2.9336
2020-08-19 05:00:00,2.9334,3.0755,2.875,2.9255
2020-08-19 06:00:00,2.9255,3.04,2.9,3.0095
2020-08-19 07:00:00,3.0095,3.1999,2.9911,3.195
2020-08-19 08:00:00,3.195,3.195,3.01,3.0362
2020-08-19 09:00:00,3.0361,3.13,3.0102,3.0401
2020-08-19 10:00:00,3.0497,3.09,2.9,3.0014
2020-08-19 11:00:00,3.0006,3.01,2.93,3.0
2020-08-19 12:00:00,3.0,3.0006,2.9,2.9897
2020-08-19 13:00:00,2.9898,3.0078,2.9011,2.9354
2020-08-19 14:00:00,2.9431,3.008,2.9353,2.9934
2020-08-19 15:00:00,2.9936,2.9936,2.94,2.9401
2020-08-19 16:00:00,2.9425,3.0298,2.9167,3.0002
2020-08-19 17:00:00,3.0002,3.0181,2.9505,2.982
2020-08-19 18:00:00,2.983,2.9956,2.7622,2.9
2020-08-19 19:00:00,2.9,2.9491,2.72,2.8027
2020-08-19 20:00:00,2.8027,2.9065,2.7918,2.8994
2020-08-19 21:00:00,2.8991,3.0078,2.8817,2.995
2020-08-19 22:00:00,2.9997,3.035,2.9333,2.9388
2020-08-19 23:00:00,2.9351,2.9868,2.9001,2.95
2020-08-20 00:00:00,2.9449,2.999,2.8594,2.8864
2020-08-20 01:00:00,2.8819,2.9199,2.85,2.9001
2020-08-20 02:00:00,2.9001,2.9105,2.72,2.7631
2020-08-20 03:00:00,2.7575,2.82,2.715,2.75
2020-08-20 04:00:00,2.75,2.8,2.7205,2.758
2020-08-20 05:00:00,2.7531,2.7744,2.6759,2.7344
2020-08-20 06:00:00,2.7345,2.7854,2.6833,2.7555
2020-08-20 07:00:00,2.7662,2.915,2.7662,2.835
2020-08-20 08:00:00,2.8311,2.8886,2.8038,2.8505
2020-08-20 09:00:00,2.8423,2.8965,2.8313,2.8488
2020-08-20 10:00:00,2.8454,2.86,2.7803,2.85
2020-08-20 11:00:00,2.8499,2.895,2.8441,2.8715
2020-08-20 12:00:00,2.8715,2.9398,2.85,2.8562
2020-08-20 13:00:00,2.8562,2.8827,2.8133,2.8342
2020-08-20 14:00:00,2.8351,2.8719,2.8,2.8709
2020-08-20 15:00:00,2.8707,3.03,2.8547,3.0117
2020-08-20 16:00:00,3.0072,3.1111,2.9835,3.0546
2020-08-20 17:00:00,3.0502,3.1,2.9901,3.0286
2020-08-20 18:00:00,3.0289,3.029,2.86,2.88
2020-08-20 19:00:00,2.8703,2.9169,2.82,2.8832
2020-08-20 20:00:00,2.8832,2.8925,2.81,2.815
2020-08-20 21:00:00,2.815,3.0,2.78,2.7946
2020-08-20 22:00:00,2.7987,2.8518,2.6,2.7733
2020-08-20 23:00:00,2.7721,2.9147,2.77,2.9
2020-08-21 00:00:00,2.8978,2.924,2.8804,2.9049
2020-08-21 01:00:00,2.9089,2.957,2.9038,2.9409
2020-08-21 02:00:00,2.9408,2.95,2.6896,2.7091
2020-08-21 03:00:00,2.709,2.8584,2.6826,2.8303
2020-08-21 04:00:00,2.8407,2.89,2.7903,2.8321
2020-08-21 05:00:00,2.8336,2.899,2.8001,2.8641
2020-08-21 06:00:00,2.8679,2.9218,2.85,2.9075
2020-08-21 07:00:00,2.906,2.9512,2.8653,2.9512
2020-08-21 08:00:00,2.951,3.09,2.945,3.0451
2020-08-21 09:00:00,3.0401,3.0899,2.901,2.901
2020-08-21 10:00:00,2.901,3.0271,2.8967,3.0095
2020-08-21 11:00:00,3.0025,3.0199,2.84,2.8951
2020-08-21 12:00:00,2.8954,2.9696,2.8311,2.9593
2020-08-21 13:00:00,2.9593,2.9666,2.92,2.9302
2020-08-21 14:00:00,2.9302,2.9509,2.86,2.9367
2020-08-21 15:00:00,2.9367,2.9493,2.8671,2.9116
2020-08-21 16:00:00,2.9106,2.9385,2.8793,2.9335
2020-08-21 17:00:00,2.9325,2.9717,2.91,2.9375
2020-08-21 18:00:00,2.9347,3.0,2.89,3.0
2020-08-21 19:00:00,3.0,3.028,2.8441,2.9274
2020-08-21 20:00:00,2.9238,2.9882,2.8437,2.8922
2020-08-21 21:00:00,2.8987,2.933,2.86,2.8912
2020-08-21 22:00:00,2.8854,2.9128,2.82,2.8515
2020-08-21 23:00:00,2.8557,2.9092,2.8304,2.833
2020-08-22 00:00:00,2.8387,2.87,2.782,2.81
2020-08-22 01:00:00,2.81,2.8642,2.783,2.84
2020-08-22 02:00:00,2.84,2.87,2.82,2.8577
2020-08-22 03:00:00,2.8571,2.9486,2.852,2.9398
2020-08-22 04:00:00,2.9361,2.9421,2.8675,2.9133
2020-08-22 05:00:00,2.9102,2.96,2.8743,2.9301
2020-08-22 06:00:00,2.9354,2.9602,2.9015,2.9581
2020-08-22 07:00:00,2.9552,3.6868,2.9545,3.41
2020-08-22 08:00:00,3.4122,3.82,3.211,3.8003
2020-08-22 09:00:00,3.8188,4.019,3.602,3.8997
2020-08-22 10:00:00,3.892,3.98,3.6363,3.82
2020-08-22 11:00:00,3.82,3.86,3.65,3.8153
2020-08-22 12:00:00,3.8205,3.85,3.501,3.6415
2020-08-22 13:00:00,3.6414,4.0313,3.635,3.8149
2020-08-22 14:00:00,3.8149,3.9353,3.6,3.8255
2020-08-22 15:00:00,3.8241,3.8918,3.7395,3.8226
2020-08-22 16:00:00,3.8226,4.0,3.7815,3.9901
2020-08-22 17:00:00,3.9901,4.19,3.8496,4.1582
2020-08-22 18:00:00,4.1646,4.3634,4.0921,4.2454
2020-08-22 19:00:00,4.2454,4.3319,4.133,4.219
2020-08-22 20:00:00,4.2197,4.2888,4.056,4.1
2020-08-22 21:00:00,4.0982,4.3,3.9333,4.2717
