date,open,high,low,close
2019-11-27 07:00:00,146.0,146.0,146.0,146.0
2019-11-27 08:00:00,125.03,145.01,125.03,133.0
2019-11-27 09:00:00,133.0,133.0,133.0,133.0
2019-11-27 10:00:00,142.2,144.52,142.1,142.62
2019-11-27 11:00:00,142.7,146.92,142.22,146.58
2019-11-27 12:00:00,146.53,149.34,145.73,147.38
2019-11-27 13:00:00,147.38,148.51,147.26,148.26
2019-11-27 14:00:00,148.35,149.14,146.8,147.65
2019-11-27 15:00:00,147.61,151.64,147.32,150.65
2019-11-27 16:00:00,150.72,153.58,148.33,152.6
2019-11-27 17:00:00,152.94,154.93,152.06,153.63
2019-11-27 18:00:00,153.66,155.5,152.84,153.03
2019-11-27 19:00:00,153.01,154.92,152.84,153.87
2019-11-27 20:00:00,153.84,155.66,152.91,153.23
2019-11-27 21:00:00,153.13,153.71,152.03,153.44
2019-11-27 22:00:00,153.29,154.29,152.63,152.63
2019-11-27 23:00:00,152.61,153.5,152.3,152.52
2019-11-28 00:00:00,154.29,154.47,154.21,154.21
2019-11-28 01:00:00,154.23,154.23,146.41,146.62
2019-11-28 02:00:00,147.86,156.52,147.86,150.62
2019-11-28 03:00:00,150.62,153.09,150.43,152.03
2019-11-28 04:00:00,151.93,152.45,151.16,151.49
2019-11-28 05:00:00,151.46,151.83,150.18,151.15
2019-11-28 06:00:00,151.15,153.02,150.45,152.17
2019-11-28 07:00:00,152.17,152.72,151.47,151.98
2019-11-28 08:00:00,152.04,152.76,151.47,152.7
2019-11-28 09:00:00,152.7,152.72,151.24,152.21
2019-11-28 10:00:00,152.14,152.14,149.63,150.81
2019-11-28 11:00:00,150.81,151.75,150.45,151.43
2019-11-28 12:00:00,151.43,151.43,149.95,150.46
2019-11-28 13:00:00,150.46,151.19,150.13,150.84
2019-11-28 14:00:00,150.84,151.03,150.13,150.66
2019-11-28 15:00:00,150.72,154.51,150.53,153.78
2019-11-28 16:00:00,153.78,153.95,152.46,153.68
2019-11-28 17:00:00,153.65,153.69,152.8,153.39
2019-11-28 18:00:00,153.33,153.95,152.97,153.17
2019-11-28 19:00:00,153.19,153.85,153.12,153.5
2019-11-28 20:00:00,153.54,154.0,151.75,151.9
2019-11-28 21:00:00,151.9,152.26,151.11,151.74
2019-11-28 22:00:00,151.72,152.5,149.78,149.98
2019-11-28 23:00:00,150.01,150.82,148.88,150.48
2019-11-29 00:00:00,150.56,152.67,150.55,152.08
2019-11-29 01:00:00,152.08,152.5,151.32,151.87
2019-11-29 02:00:00,151.85,152.1,151.27,151.62
2019-11-29 03:00:00,151.62,152.64,151.52,152.15
2019-11-29 04:00:00,152.15,152.55,151.56,151.95
2019-11-29 05:00:00,151.95,152.1,150.89,151.48
2019-11-29 06:00:00,151.49,151.87,151.15,151.83
2019-11-29 07:00:00,151.8,152.68,151.29,152.51
2019-11-29 08:00:00,152.51,153.18,152.06,152.17
2019-11-29 09:00:00,152.17,154.88,152.17,154.37
2019-11-29 10:00:00,154.37,155.13,153.52,154.0
2019-11-29 11:00:00,154.0,154.34,153.14,153.26
2019-11-29 12:00:00,153.26,155.15,151.09,154.56
2019-11-29 13:00:00,154.52,156.3,153.92,155.83
2019-11-29 14:00:00,155.81,156.73,155.56,156.11
2019-11-29 15:00:00,156.12,156.93,155.57,156.65
2019-11-29 16:00:00,156.7,157.4,154.38,154.77
2019-11-29 17:00:00,154.77,155.39,154.25,154.76
2019-11-29 18:00:00,154.76,155.06,154.35,154.5
2019-11-29 19:00:00,154.5,154.79,153.92,154.09
2019-11-29 20:00:00,154.1,154.93,153.84,153.99
2019-11-29 21:00:00,153.99,154.17,152.09,152.18
2019-11-29 22:00:00,152.19,153.36,152.13,153.35
2019-11-29 23:00:00,153.36,154.78,152.84,154.41
2019-11-30 00:00:00,154.4,155.15,153.79,154.45
2019-11-30 01:00:00,154.45,154.95,153.9,154.18
2019-11-30 02:00:00,154.18,154.18,153.4,153.64
2019-11-30 03:00:00,153.64,153.88,153.08,153.88
2019-11-30 04:00:00,153.82,153.88,152.68,153.39
2019-11-30 05:00:00,153.38,153.94,152.99,153.84
2019-11-30 06:00:00,153.85,153.99,153.5,153.9
2019-11-30 07:00:00,153.9,154.83,153.65,154.64
2019-11-30 08:00:00,154.65,154.8,153.92,153.99
2019-11-30 09:00:00,154.0,154.12,152.82,153.46
2019-11-30 10:00:00,153.46,154.58,152.56,153.74
2019-11-30 11:00:00,153.67,153.67,152.54,152.68
2019-11-30 12:00:00,152.66,153.51,152.38,153.14
2019-11-30 13:00:00,153.14,153.34,152.26,152.47
2019-11-30 14:00:00,152.47,152.72,150.38,151.55
2019-11-30 15:00:00,151.55,152.22,150.66,151.46
2019-11-30 16:00:00,151.46,152.49,150.75,152.13
2019-11-30 17:00:00,152.11,152.12,149.73,150.66
2019-11-30 18:00:00,150.66,151.18,149.66,150.13
2019-11-30 19:00:00,150.14,151.23,150.14,150.5
2019-11-30 20:00:00,150.5,150.96,150.08,150.82
2019-11-30 21:00:00,150.8,151.74,150.65,151.73
2019-11-30 22:00:00,151.71,152.15,151.22,151.37
2019-11-30 23:00:00,151.35,152.14,151.34,151.38
2019-12-01 00:00:00,151.38,151.38,150.09,150.6
2019-12-01 01:00:00,150.61,150.64,147.42,148.25
2019-12-01 02:00:00,148.3,148.99,146.11,146.66
2019-12-01 03:00:00,146.69,147.5,145.7,147.09
2019-12-01 04:00:00,147.05,148.06,146.61,148.05
2019-12-01 05:00:00,148.06,148.64,146.87,147.7
2019-12-01 06:00:00,147.71,147.98,146.96,147.12
2019-12-01 07:00:00,147.2,147.75,146.39,146.79
2019-12-01 08:00:00,146.77,147.46,146.17,146.66
2019-12-01 09:00:00,146.7,147.41,145.5,147.26
2019-12-01 10:00:00,147.3,148.25,146.74,147.91
2019-12-01 11:00:00,147.91,148.28,147.13,147.2
2019-12-01 12:00:00,147.21,148.5,147.21,148.2
2019-12-01 13:00:00,148.2,151.31,148.2,151.01
2019-12-01 14:00:00,151.02,152.5,150.52,150.61
2019-12-01 15:00:00,150.6,150.86,149.0,149.41
2019-12-01 16:00:00,149.49,150.39,148.98,149.85
2019-12-01 17:00:00,149.96,150.13,149.45,150.04
2019-12-01 18:00:00,150.1,150.55,149.81,150.09
2019-12-01 19:00:00,150.09,150.25,149.23,150.06
2019-12-01 20:00:00,150.06,150.69,149.77,149.98
2019-12-01 21:00:00,150.01,151.07,149.54,150.77
2019-12-01 22:00:00,150.77,151.72,150.5,151.3
2019-12-01 23:00:00,151.31,152.0,150.5,150.65
2019-12-02 00:00:00,150.72,151.17,149.64,150.33
2019-12-02 01:00:00,150.31,151.3,149.8,150.86
2019-12-02 02:00:00,150.95,151.17,150.45,150.89
2019-12-02 03:00:00,150.89,150.93,149.75,149.85
2019-12-02 04:00:00,149.98,150.52,149.43,150.23
2019-12-02 05:00:00,150.24,150.35,147.42,147.97
2019-12-02 06:00:00,148.0,148.19,146.67,148.17
2019-12-02 07:00:00,148.17,148.38,147.61,148.31
2019-12-02 08:00:00,148.31,148.35,147.15,147.97
2019-12-02 09:00:00,147.92,149.88,147.76,149.2
2019-12-02 10:00:00,149.2,150.18,148.36,148.93
2019-12-02 11:00:00,148.87,149.26,148.19,148.84
2019-12-02 12:00:00,148.88,149.23,147.16,148.99
2019-12-02 13:00:00,148.99,149.54,148.6,149.36
2019-12-02 14:00:00,149.36,149.36,147.45,148.0
2019-12-02 15:00:00,147.97,148.68,147.5,148.35
2019-12-02 16:00:00,148.36,148.79,147.24,147.69
2019-12-02 17:00:00,147.68,147.78,146.9,147.51
2019-12-02 18:00:00,147.55,147.55,146.83,147.13
2019-12-02 19:00:00,147.14,147.73,146.95,147.49
2019-12-02 20:00:00,147.51,148.4,147.35,147.89
2019-12-02 21:00:00,147.96,148.56,147.81,148.39
2019-12-02 22:00:00,148.39,149.42,148.28,149.08
2019-12-02 23:00:00,149.08,149.35,148.18,148.59
2019-12-03 00:00:00,148.59,149.8,148.58,149.15
2019-12-03 01:00:00,149.15,149.44,148.39,148.68
2019-12-03 02:00:00,148.69,149.62,148.3,149.16
2019-12-03 03:00:00,149.16,149.43,148.66,149.15
2019-12-03 04:00:00,149.11,149.45,148.28,148.43
2019-12-03 05:00:00,148.38,148.95,148.0,148.25
2019-12-03 06:00:00,148.26,148.85,148.1,148.64
2019-12-03 07:00:00,148.64,148.65,148.18,148.33
2019-12-03 08:00:00,148.33,148.67,148.28,148.67
2019-12-03 09:00:00,148.67,148.85,146.9,147.08
2019-12-03 10:00:00,147.03,147.35,145.62,147.0
2019-12-03 11:00:00,147.07,147.5,146.5,146.82
2019-12-03 12:00:00,146.77,147.37,146.62,147.19
2019-12-03 13:00:00,147.13,147.67,146.95,147.44
2019-12-03 14:00:00,147.44,148.88,147.11,148.61
2019-12-03 15:00:00,148.61,148.86,147.95,148.14
2019-12-03 16:00:00,148.11,148.5,147.78,148.28
2019-12-03 17:00:00,148.18,148.47,148.02,148.08
2019-12-03 18:00:00,148.09,148.5,148.03,148.39
2019-12-03 19:00:00,148.39,148.4,147.51,147.66
2019-12-03 20:00:00,147.7,147.72,147.03,147.38
2019-12-03 21:00:00,147.39,148.0,147.12,147.67
2019-12-03 22:00:00,147.67,147.99,147.18,147.41
2019-12-03 23:00:00,147.46,147.54,146.99,147.1
2019-12-04 00:00:00,147.12,147.16,143.37,144.47
2019-12-04 01:00:00,144.46,145.0,143.03,144.66
2019-12-04 02:00:00,144.61,145.1,143.88,144.44
2019-12-04 03:00:00,144.41,144.89,144.41,144.57
2019-12-04 04:00:00,144.5,144.74,144.19,144.47
2019-12-04 05:00:00,144.45,144.49,143.6,143.6
2019-12-04 06:00:00,143.59,144.59,142.96,144.04
2019-12-04 07:00:00,144.04,144.45,143.93,144.02
2019-12-04 08:00:00,144.07,145.79,143.3,145.26
2019-12-04 09:00:00,145.26,145.7,145.19,145.37
2019-12-04 10:00:00,145.37,146.19,145.12,145.86
2019-12-04 11:00:00,145.87,146.4,145.15,145.49
2019-12-04 12:00:00,145.45,145.95,145.45,145.87
2019-12-04 13:00:00,145.82,152.22,145.57,149.98
2019-12-04 14:00:00,149.91,150.51,148.54,149.04
2019-12-04 15:00:00,149.04,149.52,148.73,149.01
2019-12-04 16:00:00,149.0,149.61,148.88,149.32
2019-12-04 17:00:00,149.32,149.59,149.14,149.28
2019-12-04 18:00:00,149.26,149.47,149.04,149.37
2019-12-04 19:00:00,149.37,149.65,149.37,149.62
2019-12-04 20:00:00,149.62,149.93,144.5,145.73
2019-12-04 21:00:00,145.73,147.12,144.25,145.06
2019-12-04 22:00:00,145.07,146.0,144.54,145.28
2019-12-04 23:00:00,145.34,146.18,145.14,145.35
2019-12-05 00:00:00,145.36,145.62,145.01,145.55
2019-12-05 01:00:00,145.47,145.97,145.45,145.65
2019-12-05 02:00:00,145.65,145.65,144.21,144.37
2019-12-05 03:00:00,144.38,144.93,143.77,144.91
2019-12-05 04:00:00,144.93,146.58,143.81,144.71
2019-12-05 05:00:00,144.63,146.25,144.34,145.69
2019-12-05 06:00:00,145.67,146.07,145.11,145.81
2019-12-05 07:00:00,145.78,145.79,145.1,145.61
2019-12-05 08:00:00,145.63,145.93,145.31,145.71
2019-12-05 09:00:00,145.75,146.8,145.65,145.73
2019-12-05 10:00:00,145.77,146.84,145.72,146.73
2019-12-05 11:00:00,146.74,146.96,146.24,146.48
2019-12-05 12:00:00,146.48,148.88,146.48,148.11
2019-12-05 13:00:00,148.11,148.66,147.3,147.59
2019-12-05 14:00:00,147.57,147.8,147.08,147.78
2019-12-05 15:00:00,147.78,147.86,146.53,146.97
2019-12-05 16:00:00,147.0,147.38,146.34,146.85
2019-12-05 17:00:00,146.85,147.43,146.35,147.28
2019-12-05 18:00:00,147.28,147.91,146.76,146.87
2019-12-05 19:00:00,146.87,147.73,146.87,147.56
2019-12-05 20:00:00,147.56,148.53,147.56,147.86
2019-12-05 21:00:00,147.86,148.05,147.35,147.76
2019-12-05 22:00:00,147.8,148.0,147.46,147.74
2019-12-05 23:00:00,147.8,148.44,147.42,148.04
2019-12-06 00:00:00,148.08,148.25,146.82,147.34
2019-12-06 01:00:00,147.34,148.2,147.22,147.78
