date,open,high,low,close
2017-12-13 03:00:00.000,272.0,288.0,272.0,276.0
2017-12-13 04:00:00.000,276.0,288.0,269.99,279.0
2017-12-13 05:00:00.000,279.0,330.0,279.0,302.0
2017-12-13 06:00:00.000,302.0,304.11,286.0,291.13
2017-12-13 07:00:00.000,291.13,296.0,285.0,287.0
2017-12-13 08:00:00.000,287.0,290.0,280.1,280.1
2017-12-13 09:00:00.000,280.1,288.96,278.0,284.19
2017-12-13 10:00:00.000,284.19,287.4,275.2,275.26
2017-12-13 11:00:00.000,275.26,286.98,270.26,280.0
2017-12-13 12:00:00.000,280.0,308.0,280.0,305.0
2017-12-13 13:00:00.000,305.0,325.0,300.0,318.98
2017-12-13 14:00:00.000,318.98,318.98,291.11,291.11
2017-12-13 15:00:00.000,292.0,307.89,291.11,297.0
2017-12-13 16:00:00.000,294.07,297.9,287.54,288.01
2017-12-13 17:00:00.000,288.01,301.63,270.0,282.5
2017-12-13 18:00:00.000,280.0,296.0,260.0,279.81
2017-12-13 19:00:00.000,279.81,294.0,268.89,288.88
2017-12-13 20:00:00.000,288.88,288.88,276.0,278.0
2017-12-13 21:00:00.000,278.0,292.88,277.0,288.66
2017-12-13 22:00:00.000,292.88,301.0,288.66,294.0
2017-12-13 23:00:00.000,293.97,307.89,286.0,290.01
2017-12-14 00:00:00.000,290.01,296.0,283.99,296.0
2017-12-14 01:00:00.000,296.0,298.0,291.09,297.49
2017-12-14 02:00:00.000,297.49,299.0,288.01,288.11
2017-12-14 03:00:00.000,288.11,302.72,288.11,288.11
2017-12-14 04:00:00.000,288.11,294.99,288.11,291.4
2017-12-14 05:00:00.000,291.4,295.0,283.0,283.1
2017-12-14 06:00:00.000,283.1,290.0,283.0,283.0
2017-12-14 07:00:00.000,282.05,290.0,280.0,283.04
2017-12-14 08:00:00.000,288.5,290.0,283.0,286.5
2017-12-14 09:00:00.000,286.5,294.99,280.0,285.87
2017-12-14 10:00:00.000,282.13,288.97,282.1,287.0
2017-12-14 11:00:00.000,286.1,288.95,283.61,285.0
2017-12-14 12:00:00.000,287.88,288.8,282.0,284.0
2017-12-14 13:00:00.000,284.0,285.8,275.0,281.85
2017-12-14 14:00:00.000,281.85,282.0,260.98,260.98
2017-12-14 15:00:00.000,260.98,279.0,252.0,275.01
2017-12-14 16:00:00.000,275.01,278.0,271.2,273.03
2017-12-14 17:00:00.000,273.03,278.7,265.99,265.99
2017-12-14 18:00:00.000,268.0,275.0,257.01,261.2
2017-12-14 19:00:00.000,257.6,270.0,257.5,263.99
2017-12-14 20:00:00.000,263.99,280.0,263.0,272.4
2017-12-14 21:00:00.000,273.8,273.8,265.0,265.3
2017-12-14 22:00:00.000,265.3,270.93,265.3,267.55
2017-12-14 23:00:00.000,266.5,272.4,264.01,272.4
2017-12-15 00:00:00.000,272.4,275.96,268.6,271.0
2017-12-15 01:00:00.000,271.0,273.09,255.5,259.6
2017-12-15 02:00:00.000,259.58,265.0,239.99,250.5
2017-12-15 03:00:00.000,250.5,274.9,249.0,268.94
2017-12-15 04:00:00.000,269.2,280.18,265.0,265.01
2017-12-15 05:00:00.000,266.0,270.2,262.03,265.6
2017-12-15 06:00:00.000,265.6,275.0,264.02,268.6
2017-12-15 07:00:00.000,268.6,275.0,262.5,264.99
2017-12-15 08:00:00.000,264.99,272.0,262.54,265.56
2017-12-15 09:00:00.000,267.5,269.0,245.79,259.27
2017-12-15 10:00:00.000,259.0,260.3,241.0,257.2
2017-12-15 11:00:00.000,257.3,261.99,257.12,260.03
2017-12-15 12:00:00.000,261.0,269.1,258.0,265.1
2017-12-15 13:00:00.000,268.98,302.0,268.9,289.98
2017-12-15 14:00:00.000,289.98,295.9,280.0,294.58
2017-12-15 15:00:00.000,290.2,312.0,290.1,305.5
2017-12-15 16:00:00.000,305.5,314.21,299.0,307.29
2017-12-15 17:00:00.000,307.29,309.99,294.06,300.0
2017-12-15 18:00:00.000,300.0,302.99,290.0,292.54
2017-12-15 19:00:00.000,296.0,303.2,292.48,303.2
2017-12-15 20:00:00.000,303.2,310.0,300.0,306.08
2017-12-15 21:00:00.000,306.08,310.0,300.0,303.49
2017-12-15 22:00:00.000,303.0,304.89,292.5,294.15
2017-12-15 23:00:00.000,295.11,297.9,291.0,294.0
2017-12-16 00:00:00.000,294.0,294.0,290.0,293.0
2017-12-16 01:00:00.000,292.22,305.0,290.02,301.0
2017-12-16 02:00:00.000,299.2,305.0,296.25,296.25
2017-12-16 03:00:00.000,296.0,299.93,291.45,292.49
2017-12-16 04:00:00.000,292.49,296.0,291.0,294.04
2017-12-16 05:00:00.000,294.04,299.85,294.02,297.3
2017-12-16 06:00:00.000,297.3,297.3,290.19,291.86
2017-12-16 07:00:00.000,291.86,298.0,290.02,293.04
2017-12-16 08:00:00.000,293.04,298.0,291.21,294.72
2017-12-16 09:00:00.000,294.72,299.0,292.5,298.9
2017-12-16 10:00:00.000,298.8,299.79,293.53,296.93
2017-12-16 11:00:00.000,295.0,303.9,294.51,303.2
2017-12-16 12:00:00.000,303.2,305.0,300.06,303.0
2017-12-16 13:00:00.000,303.0,303.66,292.79,294.76
2017-12-16 14:00:00.000,294.85,298.49,285.0,295.42
2017-12-16 15:00:00.000,295.42,297.5,287.0,287.0
2017-12-16 16:00:00.000,290.75,297.0,285.01,291.41
2017-12-16 17:00:00.000,291.41,297.5,290.82,297.5
2017-12-16 18:00:00.000,297.5,297.87,293.54,293.54
2017-12-16 19:00:00.000,293.54,293.54,285.01,286.02
2017-12-16 20:00:00.000,286.02,295.8,286.0,290.99
2017-12-16 21:00:00.000,290.99,294.77,288.16,290.51
2017-12-16 22:00:00.000,290.51,294.0,288.0,290.14
2017-12-16 23:00:00.000,290.13,295.79,288.74,293.97
2017-12-17 00:00:00.000,293.01,304.8,290.0,300.54
2017-12-17 01:00:00.000,300.54,327.0,298.37,311.99
2017-12-17 02:00:00.000,313.86,324.0,300.01,309.32
2017-12-17 03:00:00.000,309.32,314.0,304.0,311.0
2017-12-17 04:00:00.000,311.0,312.28,307.0,310.92
2017-12-17 05:00:00.000,309.14,320.0,309.1,320.0
2017-12-17 06:00:00.000,320.0,325.49,315.01,324.0
2017-12-17 07:00:00.000,323.0,328.8,320.02,321.12
2017-12-17 08:00:00.000,321.12,323.41,312.0,312.18
2017-12-17 09:00:00.000,314.0,317.99,311.06,314.25
2017-12-17 10:00:00.000,314.25,318.51,312.0,318.51
2017-12-17 11:00:00.000,319.0,321.9,314.14,319.0
2017-12-17 12:00:00.000,319.0,319.97,311.24,311.97
2017-12-17 13:00:00.000,311.97,316.4,309.0,313.02
2017-12-17 14:00:00.000,313.02,316.41,310.0,312.6
2017-12-17 15:00:00.000,312.81,319.4,312.0,316.0
2017-12-17 16:00:00.000,316.0,317.99,309.05,312.09
2017-12-17 17:00:00.000,311.99,313.97,309.1,311.42
2017-12-17 18:00:00.000,311.42,320.0,310.69,319.88
2017-12-17 19:00:00.000,315.95,320.0,312.41,318.4
2017-12-17 20:00:00.000,318.6,320.75,314.16,315.0
2017-12-17 21:00:00.000,315.0,319.3,314.21,316.61
2017-12-17 22:00:00.000,317.1,319.88,314.2,316.35
2017-12-17 23:00:00.000,316.38,318.52,308.21,311.4
2017-12-18 00:00:00.000,311.23,314.66,295.0,298.0
2017-12-18 01:00:00.000,295.0,305.0,277.0,297.27
2017-12-18 02:00:00.000,298.11,308.0,296.52,301.5
2017-12-18 03:00:00.000,301.22,315.93,301.22,304.25
2017-12-18 04:00:00.000,305.0,308.95,304.08,305.25
2017-12-18 05:00:00.000,307.99,310.0,306.98,310.0
2017-12-18 06:00:00.000,310.0,314.99,307.4,313.86
2017-12-18 07:00:00.000,313.86,313.86,305.75,307.27
2017-12-18 08:00:00.000,306.87,314.97,306.86,314.0
2017-12-18 09:00:00.000,311.03,314.88,308.0,313.0
2017-12-18 10:00:00.000,312.0,317.32,311.49,315.0
2017-12-18 11:00:00.000,317.02,325.98,315.0,322.55
2017-12-18 12:00:00.000,322.66,322.66,320.5,322.26
2017-12-18 13:00:00.000,320.0,320.0,311.02,314.0
2017-12-18 14:00:00.000,314.0,314.0,304.38,311.01
2017-12-18 15:00:00.000,311.01,318.0,311.0,313.0
2017-12-18 16:00:00.000,312.0,315.77,310.01,312.4
2017-12-18 17:00:00.000,315.72,320.96,312.52,318.5
2017-12-18 18:00:00.000,319.0,321.96,311.15,321.0
2017-12-18 19:00:00.000,319.03,325.0,315.01,321.0
2017-12-18 20:00:00.000,321.02,339.0,321.01,336.39
2017-12-18 21:00:00.000,336.4,339.99,330.0,332.15
2017-12-18 22:00:00.000,334.49,360.96,334.4,360.0
2017-12-18 23:00:00.000,358.0,360.0,343.57,352.0
2017-12-19 00:00:00.000,352.0,356.35,337.52,343.41
2017-12-19 01:00:00.000,343.99,354.02,343.99,347.55
2017-12-19 02:00:00.000,348.0,352.37,338.34,347.05
2017-12-19 03:00:00.000,347.05,355.85,347.05,351.0
2017-12-19 04:00:00.000,354.5,366.96,351.0,362.51
2017-12-19 05:00:00.000,362.51,364.29,357.47,363.61
2017-12-19 06:00:00.000,362.5,365.99,355.0,357.13
2017-12-19 07:00:00.000,357.19,360.89,351.33,354.25
2017-12-19 08:00:00.000,354.43,357.94,350.0,357.02
2017-12-19 09:00:00.000,355.63,359.0,343.0,349.98
2017-12-19 10:00:00.000,345.5,348.99,303.01,315.71
2017-12-19 11:00:00.000,315.0,348.41,305.0,331.0
2017-12-19 12:00:00.000,330.0,348.41,327.52,338.0
2017-12-19 13:00:00.000,336.01,345.79,335.05,338.35
2017-12-19 14:00:00.000,338.35,339.01,313.24,318.4
2017-12-19 15:00:00.000,322.3,339.99,313.0,331.53
2017-12-19 16:00:00.000,331.53,342.9,329.88,340.0
2017-12-19 17:00:00.000,342.0,347.98,339.55,346.18
2017-12-19 18:00:00.000,346.18,352.0,340.1,348.8
2017-12-19 19:00:00.000,348.8,355.59,345.81,346.01
2017-12-19 20:00:00.000,348.79,348.79,336.43,339.86
2017-12-19 21:00:00.000,339.86,344.3,321.0,321.13
2017-12-19 22:00:00.000,321.13,336.88,321.0,327.95
2017-12-19 23:00:00.000,325.8,340.0,323.41,338.48
2017-12-20 00:00:00.000,336.05,338.47,279.0,309.86
2017-12-20 01:00:00.000,308.0,311.67,260.0,308.0
2017-12-20 02:00:00.000,307.99,330.01,303.03,329.32
2017-12-20 03:00:00.000,330.01,334.56,318.51,318.98
2017-12-20 04:00:00.000,318.98,332.98,315.0,332.98
2017-12-20 05:00:00.000,332.97,332.97,316.01,316.01
2017-12-20 06:00:00.000,316.01,318.87,300.01,316.5
2017-12-20 07:00:00.000,315.99,323.18,312.0,316.0
2017-12-20 08:00:00.000,316.0,325.0,314.92,323.03
2017-12-20 09:00:00.000,322.99,325.82,312.07,319.69
2017-12-20 10:00:00.000,315.07,328.34,315.07,321.68
2017-12-20 11:00:00.000,321.71,327.98,318.72,321.37
2017-12-20 12:00:00.000,321.36,338.0,320.23,336.49
2017-12-20 13:00:00.000,336.49,357.0,317.61,321.0
2017-12-20 14:00:00.000,318.05,323.64,310.0,314.99
2017-12-20 15:00:00.000,314.99,320.71,305.21,307.19
2017-12-20 16:00:00.000,307.19,310.97,296.1,300.0
2017-12-20 17:00:00.000,300.0,318.0,300.0,315.21
2017-12-20 18:00:00.000,315.21,318.0,312.02,318.0
2017-12-20 19:00:00.000,318.17,319.73,312.02,316.0
2017-12-20 20:00:00.000,314.19,316.0,305.33,309.97
2017-12-20 21:00:00.000,309.5,310.5,300.0,301.95
2017-12-20 22:00:00.000,302.0,304.27,293.0,301.02
2017-12-20 23:00:00.000,301.02,305.0,298.22,302.7
2017-12-21 00:00:00.000,303.8,315.0,301.11,311.63
2017-12-21 01:00:00.000,311.24,313.98,303.4,307.0
2017-12-21 02:00:00.000,307.91,314.99,305.01,308.97
2017-12-21 03:00:00.000,310.3,319.49,307.0,317.0
2017-12-21 04:00:00.000,317.0,319.42,311.51,312.0
2017-12-21 05:00:00.000,314.0,316.0,308.0,314.97
2017-12-21 06:00:00.000,311.74,323.4,311.52,323.39
2017-12-21 07:00:00.000,323.39,325.16,312.0,317.78
2017-12-21 08:00:00.000,317.77,317.92,310.63,312.87
2017-12-21 09:00:00.000,312.86,316.0,310.63,311.12
2017-12-21 10:00:00.000,311.01,313.4,304.01,308.99
2017-12-21 11:00:00.000,308.99,312.67,307.0,311.43
2017-12-21 12:00:00.000,311.43,313.2,309.51,311.0
2017-12-21 13:00:00.000,310.52,311.41,301.01,302.41
2017-12-21 14:00:00.000,302.4,306.93,288.0,294.04
2017-12-21 15:00:00.000,290.12,299.0,267.01,268.3
2017-12-21 16:00:00.000,268.45,292.3,268.45,288.0
2017-12-21 17:00:00.000,288.09,288.09,272.07,276.52
2017-12-21 18:00:00.000,279.99,288.09,270.08,280.3
2017-12-21 19:00:00.000,280.3,282.95,276.85,281.25
2017-12-21 20:00:00.000,281.23,289.99,281.23,287.0
2017-12-21 21:00:00.000,286.01,298.0,275.5,290.84
2017-12-21 22:00:00.000,291.37,302.44,275.5,297.08
2017-12-21 23:00:00.000,297.27,303.89,297.27,302.0
2017-12-22 00:00:00.000,303.0,315.0,270.5,292.56
2017-12-22 01:00:00.000,291.0,294.75,270.09,276.61
2017-12-22 02:00:00.000,276.61,285.0,261.0,266.91
2017-12-22 03:00:00.000,265.99,270.0,243.5,260.02
2017-12-22 04:00:00.000,260.02,291.0,257.0,270.68
2017-12-22 05:00:00.000,272.11,274.91,255.25,260.49
2017-12-22 06:00:00.000,260.58,269.0,244.6,246.05
2017-12-22 07:00:00.000,247.0,249.0,210.28,227.33
2017-12-22 08:00:00.000,232.0,243.93,216.44,233.49
2017-12-22 09:00:00.000,233.52,264.59,232.45,250.68
2017-12-22 10:00:00.000,250.68,267.0,246.28,253.06
2017-12-22 11:00:00.000,256.19,256.2,230.0,242.8
2017-12-22 12:00:00.000,242.8,250.91,237.8,242.07
2017-12-22 13:00:00.000,242.07,243.76,207.7,207.7
2017-12-22 14:00:00.000,207.7,212.65,177.58,201.0
2017-12-22 15:00:00.000,202.01,245.13,195.22,233.91
2017-12-22 16:00:00.000,235.01,237.1,204.01,231.01
2017-12-22 17:00:00.000,231.02,243.99,226.48,235.87
2017-12-22 18:00:00.000,235.87,248.27,229.62,246.16
2017-12-22 19:00:00.000,246.17,254.17,235.02,247.0
2017-12-22 20:00:00.000,246.06,270.0,238.03,268.5
2017-12-22 21:00:00.000,268.1,280.03,258.45,265.0
2017-12-22 22:00:00.000,265.0,274.0,263.51,273.0
2017-12-22 23:00:00.000,273.0,273.0,235.0,250.99
2017-12-23 00:00:00.000,250.99,261.87,214.91,250.82
2017-12-23 01:00:00.000,250.82,260.49,247.14,255.56
2017-12-23 02:00:00.000,256.0,268.96,255.56,264.79
2017-12-23 03:00:00.000,264.79,280.0,262.09,277.18
2017-12-23 04:00:00.000,277.18,277.19,257.58,264.27
2017-12-23 05:00:00.000,265.0,267.02,252.1,257.61
2017-12-23 06:00:00.000,254.67,258.0,243.95,256.0
2017-12-23 07:00:00.000,257.0,266.99,255.0,261.0
2017-12-23 08:00:00.000,261.0,266.94,255.18,261.45
2017-12-23 09:00:00.000,261.61,264.99,255.8,264.82
2017-12-23 10:00:00.000,264.12,269.3,258.46,269.28
2017-12-23 11:00:00.000,268.02,287.0,265.44,281.0
2017-12-23 12:00:00.000,281.0,285.0,250.0,272.06
2017-12-23 13:00:00.000,272.8,276.99,270.74,276.0
2017-12-23 14:00:00.000,276.0,299.14,275.69,287.92
2017-12-23 15:00:00.000,287.0,292.96,267.5,274.0
2017-12-23 16:00:00.000,273.09,284.84,262.91,284.0
2017-12-23 17:00:00.000,284.77,284.77,274.01,278.93
2017-12-23 18:00:00.000,278.93,282.58,273.52,274.71
2017-12-23 19:00:00.000,274.71,278.76,273.8,277.1
2017-12-23 20:00:00.000,277.1,285.0,275.92,282.0
2017-12-23 21:00:00.000,282.0,301.52,277.3,281.99
2017-12-23 22:00:00.000,281.99,287.41,273.08,273.59
2017-12-23 23:00:00.000,273.55,277.0,252.12,253.44
2017-12-24 00:00:00.000,253.44,277.0,242.11,254.0
2017-12-24 01:00:00.000,254.0,264.67,233.99,249.0
2017-12-24 02:00:00.000,248.88,249.69,228.07,231.61
2017-12-24 03:00:00.000,231.6,262.9,230.02,254.98
2017-12-24 04:00:00.000,254.95,259.91,245.0,251.57
2017-12-24 05:00:00.000,251.49,259.0,250.52,256.38
2017-12-24 06:00:00.000,257.07,264.0,251.46,260.9
2017-12-24 07:00:00.000,261.08,268.81,253.0,255.95
2017-12-24 08:00:00.000,253.38,266.0,251.3,266.0
2017-12-24 09:00:00.000,262.02,265.89,246.32,250.02
2017-12-24 10:00:00.000,250.02,254.98,237.53,246.3
2017-12-24 11:00:00.000,246.3,247.86,227.0,237.79
2017-12-24 12:00:00.000,237.81,240.0,220.03,235.2
2017-12-24 13:00:00.000,236.67,252.03,235.58,250.0
2017-12-24 14:00:00.000,250.0,255.0,244.52,252.01
2017-12-24 15:00:00.000,252.0,254.89,240.78,245.39
2017-12-24 16:00:00.000,244.55,255.05,242.8,248.98
2017-12-24 17:00:00.000,248.98,252.0,243.96,243.96
2017-12-24 18:00:00.000,246.16,246.16,238.13,241.28
2017-12-24 19:00:00.000,241.0,243.61,235.0,238.02
2017-12-24 20:00:00.000,238.03,251.94,238.0,248.0
2017-12-24 21:00:00.000,248.0,250.0,243.62,246.42
2017-12-24 22:00:00.000,246.27,254.74,243.0,254.42
2017-12-24 23:00:00.000,253.79,263.17,253.24,262.9
2017-12-25 00:00:00.000,262.9,270.0,257.51,265.17
2017-12-25 01:00:00.000,265.0,265.0,255.03,263.89
2017-12-25 02:00:00.000,264.0,265.0,253.01,255.87
2017-12-25 03:00:00.000,257.24,261.75,254.93,255.52
2017-12-25 04:00:00.000,255.8,267.35,251.4,264.03
2017-12-25 05:00:00.000,264.5,265.95,261.01,263.51
2017-12-25 06:00:00.000,264.5,269.85,263.8,266.35
2017-12-25 07:00:00.000,266.47,273.02,266.11,268.97
2017-12-25 08:00:00.000,268.94,271.0,265.0,271.0
2017-12-25 09:00:00.000,271.5,272.7,266.6,267.09
2017-12-25 10:00:00.000,267.9,271.44,267.0,268.7
2017-12-25 11:00:00.000,268.7,272.89,267.3,268.95
2017-12-25 12:00:00.000,270.95,277.5,268.02,274.12
2017-12-25 13:00:00.000,274.16,275.77,260.0,262.69
2017-12-25 14:00:00.000,262.64,264.99,254.0,256.41
2017-12-25 15:00:00.000,256.4,264.0,255.29,261.99
2017-12-25 16:00:00.000,261.97,267.0,261.09,263.02
2017-12-25 17:00:00.000,263.02,265.0,259.03,260.44
2017-12-25 18:00:00.000,260.44,265.32,260.0,264.15
2017-12-25 19:00:00.000,264.13,265.0,260.44,263.6
2017-12-25 20:00:00.000,263.6,266.0,259.14,260.85
2017-12-25 21:00:00.000,260.85,264.5,258.81,260.99
2017-12-25 22:00:00.000,260.2,261.12,257.19,259.89
2017-12-25 23:00:00.000,259.89,262.98,258.76,261.2
2017-12-26 00:00:00.000,261.17,264.0,260.35,262.24
2017-12-26 01:00:00.000,262.99,262.99,258.0,259.92
2017-12-26 02:00:00.000,260.5,263.86,259.26,261.36
2017-12-26 03:00:00.000,261.36,271.52,260.06,271.52
2017-12-26 04:00:00.000,271.5,274.99,266.71,269.97
2017-12-26 05:00:00.000,269.99,273.8,266.82,271.47
2017-12-26 06:00:00.000,271.51,275.42,271.51,273.12
2017-12-26 07:00:00.000,273.5,275.0,267.57,271.98
2017-12-26 08:00:00.000,271.98,274.44,268.0,268.95
2017-12-26 09:00:00.000,268.92,273.5,266.71,273.41
2017-12-26 10:00:00.000,272.94,273.5,270.0,270.02
2017-12-26 11:00:00.000,270.5,271.0,267.36,269.22
2017-12-26 12:00:00.000,267.93,272.15,267.92,271.49
2017-12-26 13:00:00.000,270.31,272.94,269.11,270.91
2017-12-26 14:00:00.000,269.81,276.77,269.64,276.0
2017-12-26 15:00:00.000,276.0,277.5,270.99,273.54
2017-12-26 16:00:00.000,272.88,280.5,271.04,280.45
2017-12-26 17:00:00.000,280.66,282.82,273.0,279.61
2017-12-26 18:00:00.000,279.61,281.0,276.0,277.0
2017-12-26 19:00:00.000,277.0,281.5,275.55,278.3
2017-12-26 20:00:00.000,278.56,280.9,273.72,273.75
2017-12-26 21:00:00.000,275.6,280.89,274.16,277.03
2017-12-26 22:00:00.000,277.03,278.52,273.0,274.02
2017-12-26 23:00:00.000,274.02,279.81,272.47,277.98
2017-12-27 00:00:00.000,277.98,279.55,275.86,278.0
2017-12-27 01:00:00.000,278.0,280.0,278.0,278.45
2017-12-27 02:00:00.000,278.45,279.0,276.0,278.27
2017-12-27 03:00:00.000,278.15,278.5,276.5,277.17
2017-12-27 04:00:00.000,277.99,282.5,277.0,279.22
2017-12-27 05:00:00.000,279.04,284.34,278.5,282.12
2017-12-27 06:00:00.000,282.11,282.34,278.0,280.0
2017-12-27 07:00:00.000,280.36,280.36,275.51,278.0
2017-12-27 08:00:00.000,278.0,281.0,277.0,277.51
2017-12-27 09:00:00.000,277.51,279.77,275.0,275.03
2017-12-27 10:00:00.000,275.01,275.8,265.0,269.5
2017-12-27 11:00:00.000,269.79,272.3,268.0,270.5
2017-12-27 12:00:00.000,270.59,276.34,270.59,275.99
2017-12-27 13:00:00.000,275.45,276.19,270.0,274.76
2017-12-27 14:00:00.000,274.74,274.74,265.5,266.12
2017-12-27 15:00:00.000,267.38,267.38,258.0,262.7
2017-12-27 16:00:00.000,262.7,266.82,252.13,254.05
2017-12-27 17:00:00.000,255.0,260.3,245.29,258.13
2017-12-27 18:00:00.000,258.13,267.74,257.07,261.3
2017-12-27 19:00:00.000,261.3,265.45,256.35,256.52
2017-12-27 20:00:00.000,258.23,259.89,250.0,257.05
2017-12-27 21:00:00.000,256.15,262.99,254.37,260.0
2017-12-27 22:00:00.000,260.5,267.07,258.13,262.26
2017-12-27 23:00:00.000,261.4,267.05,260.04,262.59
2017-12-28 00:00:00.000,262.61,266.7,259.16,260.7
2017-12-28 01:00:00.000,259.52,262.01,258.66,262.0
2017-12-28 02:00:00.000,261.51,262.11,230.01,236.9
2017-12-28 03:00:00.000,236.9,249.57,230.55,241.48
2017-12-28 04:00:00.000,242.98,248.85,238.6,244.38
2017-12-28 05:00:00.000,244.38,246.72,234.09,237.84
2017-12-28 06:00:00.000,237.85,248.92,234.03,236.51
2017-12-28 07:00:00.000,236.8,246.35,236.8,245.0
2017-12-28 08:00:00.000,244.99,246.0,240.08,243.42
2017-12-28 09:00:00.000,243.52,248.91,242.09,244.3
2017-12-28 10:00:00.000,244.3,246.0,231.0,231.0
2017-12-28 11:00:00.000,231.0,235.46,230.1,234.27
2017-12-28 12:00:00.000,234.72,241.0,233.01,239.0
2017-12-28 13:00:00.000,239.0,244.39,239.0,240.8
2017-12-28 14:00:00.000,240.81,245.0,234.03,243.0
2017-12-28 15:00:00.000,243.02,247.09,240.06,242.61
2017-12-28 16:00:00.000,242.57,242.61,235.0,235.98
2017-12-28 17:00:00.000,235.98,239.0,229.0,237.4
2017-12-28 18:00:00.000,237.4,237.4,222.03,223.94
2017-12-28 19:00:00.000,224.0,235.0,223.95,235.0
2017-12-28 20:00:00.000,235.0,239.85,233.02,234.16
2017-12-28 21:00:00.000,234.16,236.92,232.06,233.97
2017-12-28 22:00:00.000,233.65,240.94,233.65,237.8
2017-12-28 23:00:00.000,237.8,245.7,236.5,244.68
2017-12-29 00:00:00.000,244.68,246.33,242.31,243.81
2017-12-29 01:00:00.000,244.47,246.0,239.94,242.0
2017-12-29 02:00:00.000,242.0,255.6,241.04,254.15
2017-12-29 03:00:00.000,254.15,254.15,246.75,251.4
2017-12-29 04:00:00.000,251.39,254.7,250.0,250.05
2017-12-29 05:00:00.000,250.05,255.0,248.85,251.7
2017-12-29 06:00:00.000,250.94,255.1,250.86,252.01
2017-12-29 07:00:00.000,252.01,252.16,241.33,245.12
2017-12-29 08:00:00.000,245.12,249.25,241.79,244.09
2017-12-29 09:00:00.000,244.78,245.87,239.5,239.54
2017-12-29 10:00:00.000,240.0,243.98,233.97,235.35
2017-12-29 11:00:00.000,235.35,240.0,235.35,239.04
2017-12-29 12:00:00.000,239.04,239.94,234.5,235.3
2017-12-29 13:00:00.000,236.57,240.0,233.99,239.13
2017-12-29 14:00:00.000,239.11,242.0,238.16,240.36
2017-12-29 15:00:00.000,240.36,248.98,238.3,248.98
2017-12-29 16:00:00.000,248.98,252.0,245.51,247.28
