date,open,high,low,close
2020-01-09 08:00:00,45.32,45.77,45.07,45.22
2020-01-09 09:00:00,45.22,45.28,45.0,45.03
2020-01-09 10:00:00,45.02,45.42,44.84,45.08
2020-01-09 11:00:00,45.08,45.19,44.84,45.0
2020-01-09 12:00:00,44.99,45.19,44.91,45.16
2020-01-09 13:00:00,45.16,45.44,45.16,45.19
2020-01-09 14:00:00,45.19,45.32,44.93,45.0
2020-01-09 15:00:00,45.0,45.3,44.99,45.17
2020-01-09 16:00:00,45.14,45.43,44.2,44.35
2020-01-09 17:00:00,44.35,44.42,43.95,44.12
2020-01-09 18:00:00,44.12,44.2,43.87,44.11
2020-01-09 19:00:00,44.11,44.83,44.01,44.6
2020-01-09 20:00:00,44.6,45.15,44.08,44.38
2020-01-09 21:00:00,44.38,44.62,44.14,44.29
2020-01-09 22:00:00,44.29,44.6,44.21,44.51
2020-01-09 23:00:00,44.51,44.96,44.28,44.73
2020-01-10 00:00:00,44.73,45.14,44.69,44.8
2020-01-10 01:00:00,44.82,44.91,44.46,44.55
2020-01-10 02:00:00,44.55,44.7,44.49,44.58
2020-01-10 03:00:00,44.56,44.72,44.41,44.62
2020-01-10 04:00:00,44.62,44.67,44.36,44.41
2020-01-10 05:00:00,44.41,44.43,44.1,44.12
2020-01-10 06:00:00,44.12,44.52,44.12,44.33
2020-01-10 07:00:00,44.33,44.37,44.22,44.37
2020-01-10 08:00:00,44.37,44.38,44.07,44.18
2020-01-10 09:00:00,44.16,44.42,44.1,44.18
2020-01-10 10:00:00,44.2,44.58,43.8,44.58
2020-01-10 11:00:00,44.58,45.5,44.58,45.29
2020-01-10 12:00:00,45.29,46.3,45.07,46.26
2020-01-10 13:00:00,46.25,46.37,45.78,45.94
2020-01-10 14:00:00,45.94,46.97,45.89,46.87
2020-01-10 15:00:00,46.85,48.85,46.84,48.68
2020-01-10 16:00:00,48.69,49.39,47.62,47.82
2020-01-10 17:00:00,47.77,47.84,47.16,47.65
2020-01-10 18:00:00,47.69,49.06,47.62,48.03
2020-01-10 19:00:00,48.04,49.63,47.95,49.06
2020-01-10 20:00:00,49.0,49.39,48.37,48.64
2020-01-10 21:00:00,48.64,49.12,48.38,48.67
2020-01-10 22:00:00,48.67,48.87,47.97,48.58
2020-01-10 23:00:00,48.58,49.24,48.3,49.04
2020-01-11 00:00:00,49.03,49.2,48.55,48.84
2020-01-11 01:00:00,48.84,49.95,48.84,49.35
2020-01-11 02:00:00,49.35,49.57,49.02,49.4
2020-01-11 03:00:00,49.4,49.4,48.74,48.95
2020-01-11 04:00:00,48.94,49.19,48.28,48.61
2020-01-11 05:00:00,48.61,48.61,47.95,48.46
2020-01-11 06:00:00,48.46,49.2,48.17,49.07
2020-01-11 07:00:00,49.11,49.42,48.64,48.9
2020-01-11 08:00:00,48.9,48.95,48.65,48.72
2020-01-11 09:00:00,48.72,49.43,48.68,49.33
2020-01-11 10:00:00,49.36,49.37,48.27,48.45
2020-01-11 11:00:00,48.47,48.51,47.76,48.17
2020-01-11 12:00:00,48.17,48.53,48.05,48.47
2020-01-11 13:00:00,48.45,49.62,48.43,49.55
2020-01-11 14:00:00,49.54,49.64,48.92,48.98
2020-01-11 15:00:00,48.97,50.97,48.94,50.46
2020-01-11 16:00:00,50.46,51.8,50.03,51.35
2020-01-11 17:00:00,51.35,51.99,50.72,51.1
2020-01-11 18:00:00,51.1,51.61,50.89,51.31
2020-01-11 19:00:00,51.32,51.68,51.12,51.22
2020-01-11 20:00:00,51.22,51.57,50.63,50.93
2020-01-11 21:00:00,50.93,51.47,50.12,50.29
2020-01-11 22:00:00,50.3,50.5,49.93,50.17
2020-01-11 23:00:00,50.17,50.19,49.15,49.25
2020-01-12 00:00:00,49.3,50.05,48.78,49.8
2020-01-12 01:00:00,49.82,50.46,49.7,50.29
2020-01-12 02:00:00,50.26,51.13,50.16,50.99
2020-01-12 03:00:00,50.99,51.75,50.68,50.83
2020-01-12 04:00:00,50.8,50.94,50.52,50.56
2020-01-12 05:00:00,50.56,50.77,50.44,50.71
2020-01-12 06:00:00,50.71,51.41,50.71,50.81
2020-01-12 07:00:00,50.81,51.25,50.81,51.06
2020-01-12 08:00:00,51.06,51.39,50.85,50.9
2020-01-12 09:00:00,50.9,50.92,50.4,50.46
2020-01-12 10:00:00,50.46,50.6,49.86,50.43
2020-01-12 11:00:00,50.4,50.52,49.92,50.05
2020-01-12 12:00:00,50.11,50.76,50.05,50.14
2020-01-12 13:00:00,50.14,51.07,49.9,50.97
2020-01-12 14:00:00,50.98,51.15,50.4,50.58
2020-01-12 15:00:00,50.58,50.99,50.51,50.81
2020-01-12 16:00:00,50.82,51.08,50.12,50.3
2020-01-12 17:00:00,50.27,50.85,50.03,50.69
2020-01-12 18:00:00,50.67,50.74,50.11,50.15
2020-01-12 19:00:00,50.15,50.34,49.99,50.15
2020-01-12 20:00:00,50.15,50.47,50.14,50.45
2020-01-12 21:00:00,50.45,50.48,50.1,50.12
2020-01-12 22:00:00,50.14,51.2,50.13,50.98
2020-01-12 23:00:00,51.01,51.33,50.65,51.33
2020-01-13 00:00:00,51.33,51.42,50.38,50.59
2020-01-13 01:00:00,50.59,50.97,50.48,50.94
2020-01-13 02:00:00,50.91,51.0,49.93,49.95
2020-01-13 03:00:00,49.95,50.27,49.7,49.76
2020-01-13 04:00:00,49.76,50.15,49.53,50.09
2020-01-13 05:00:00,50.09,50.09,49.52,49.79
2020-01-13 06:00:00,49.79,49.91,49.55,49.61
2020-01-13 07:00:00,49.61,50.03,49.59,49.89
2020-01-13 08:00:00,49.89,50.25,49.65,50.16
2020-01-13 09:00:00,50.16,50.19,49.86,50.02
2020-01-13 10:00:00,50.02,50.68,49.95,50.48
2020-01-13 11:00:00,50.49,50.8,50.05,50.06
2020-01-13 12:00:00,50.06,50.16,49.8,50.01
2020-01-13 13:00:00,50.01,50.04,49.02,49.33
2020-01-13 14:00:00,49.33,49.41,48.9,49.38
2020-01-13 15:00:00,49.36,49.53,49.2,49.38
2020-01-13 16:00:00,49.38,49.75,49.12,49.73
2020-01-13 17:00:00,49.74,49.91,49.31,49.35
2020-01-13 18:00:00,49.36,49.62,49.31,49.62
2020-01-13 19:00:00,49.58,49.85,49.58,49.71
2020-01-13 20:00:00,49.71,50.07,49.67,49.91
2020-01-13 21:00:00,49.91,50.05,49.63,49.92
2020-01-13 22:00:00,49.92,50.0,49.45,49.6
2020-01-13 23:00:00,49.6,49.84,49.55,49.58
2020-01-14 00:00:00,49.6,51.12,49.58,50.77
2020-01-14 01:00:00,50.77,53.66,50.77,52.87
2020-01-14 02:00:00,52.79,53.2,52.48,53.02
2020-01-14 03:00:00,53.02,53.98,52.81,53.74
2020-01-14 04:00:00,53.74,54.13,53.11,53.56
