Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1608883200000,2020-12-25 08:00:00,25561.9,29394.7,25535.0,25586.9,58418,1608886799999,221.81778084,1430,29689,112.66553934,0
1608886800000,2020-12-25 09:00:00,25586.9,25949.6,25550.0,25920.0,40692,1608890399999,157.96117597,1894,15652,60.75270197,0
1608890400000,2020-12-25 10:00:00,25928.2,26108.8,25762.1,26002.1,30453,1608893999999,117.39093368,1244,15022,57.86759034,0
1608894000000,2020-12-25 11:00:00,26003.4,27074.2,25832.1,26808.6,80817,1608897599999,303.60316147,2938,46367,173.86405681,0
1608897600000,2020-12-25 12:00:00,26802.0,27008.8,26487.7,26494.4,73346,1608901199999,274.86277612,1705,35114,131.45656476,0
1608901200000,2020-12-25 13:00:00,26505.9,26648.0,26435.6,26593.0,72625,1608904799999,273.51942699,1289,36884,138.83788151,0
1608904800000,2020-12-25 14:00:00,26592.9,26614.2,25578.4,25874.8,98702,1608908399999,380.04613934,2435,40460,155.43960971,0
1608908400000,2020-12-25 15:00:00,25858.1,26039.0,25683.6,25770.1,56090,1608911999999,216.61135099,1719,35526,137.18977703,0
1608912000000,2020-12-25 16:00:00,25769.7,26088.3,25769.7,25858.1,38067,1608915599999,146.78278792,1130,19570,75.43538537,0
1608915600000,2020-12-25 17:00:00,25840.9,26040.2,25750.0,25960.3,24638,1608919199999,95.08676225,812,11887,45.87794208,0
1608919200000,2020-12-25 18:00:00,25961.9,26232.0,25928.1,26135.3,26665,1608922799999,102.37974811,868,14078,54.07050676,0
1608922800000,2020-12-25 19:00:00,26144.5,26350.0,26093.4,26265.5,55685,1608926399999,212.48947334,1149,23649,90.30329782,0
1608926400000,2020-12-25 20:00:00,26276.2,26312.8,26147.9,26268.2,20981,1608929999999,79.96189162,633,10685,40.72655989,0
1608930000000,2020-12-25 21:00:00,26265.3,26268.9,26019.9,26250.7,21540,1608933599999,82.39450809,695,11032,42.20796818,0
1608933600000,2020-12-25 22:00:00,26249.6,26529.9,26202.3,26440.8,31882,1608937199999,120.86172281,1222,16068,60.89881075,0
1608937200000,2020-12-25 23:00:00,26440.7,26677.2,26385.6,26611.4,58113,1608940799999,218.85172824,1880,27087,102.02682322,0
1608940800000,2020-12-26 00:00:00,26619.3,26699.9,26422.5,26529.6,44679,1608944399999,168.31909044,1467,22527,84.87941255,0
1608944400000,2020-12-26 01:00:00,26514.6,26909.8,26388.1,26882.8,53283,1608947999999,199.99788110,1927,28063,105.37224418,0
1608948000000,2020-12-26 02:00:00,26879.9,27448.3,26798.5,26871.1,140895,1608951599999,520.56110511,2927,92117,339.95347141,0
1608951600000,2020-12-26 03:00:00,26871.8,27145.9,26846.8,27016.6,63985,1608955199999,236.83549664,2963,26809,99.25448087,0
1608955200000,2020-12-26 04:00:00,27016.6,27026.2,26840.2,26886.7,45176,1608958799999,167.72683483,1865,20505,76.13641722,0
1608958800000,2020-12-26 05:00:00,26890.8,26930.6,26720.4,26773.3,36568,1608962399999,136.40758121,1285,18976,70.79313588,0
1608962400000,2020-12-26 06:00:00,26771.2,26976.9,26712.5,26925.0,21822,1608965999999,81.24937485,815,10071,37.50718926,0
1608966000000,2020-12-26 07:00:00,26925.3,27040.6,26774.2,26852.2,30644,1608969599999,113.90755006,1217,16580,61.64632416,0
1608969600000,2020-12-26 08:00:00,26852.6,27114.6,26825.2,26975.2,47099,1608973199999,174.58036044,1893,22679,84.08475329,0
1608973200000,2020-12-26 09:00:00,26968.0,26982.5,26755.1,26898.7,42086,1608976799999,156.62381755,1458,22401,83.36743321,0
1608976800000,2020-12-26 10:00:00,26888.3,26948.8,26518.0,26708.6,98024,1608980399999,366.13163756,2332,33302,124.52791754,0
1608980400000,2020-12-26 11:00:00,26705.6,26893.0,26673.2,26831.6,44984,1608983999999,167.88427663,1650,24163,90.16514129,0
1608984000000,2020-12-26 12:00:00,26821.3,26965.0,26704.3,26905.2,42784,1608987599999,159.46659333,1744,20820,77.60729930,0
1608987600000,2020-12-26 13:00:00,26899.6,27037.1,26805.2,26959.1,42164,1608991199999,156.65425060,1660,22884,85.03198932,0
1608991200000,2020-12-26 14:00:00,26964.9,27558.3,26909.1,27495.7,112653,1608994799999,413.40938157,4171,53189,195.17980342,0
1608994800000,2020-12-26 15:00:00,27493.9,27846.5,27443.6,27780.0,67667,1608998399999,244.93902424,2248,35133,127.16339441,0
1608998400000,2020-12-26 16:00:00,27790.0,28114.1,27707.5,27965.9,102300,1609001999999,366.83881701,3256,51255,183.78524045,0
1609002000000,2020-12-26 17:00:00,27967.0,28169.2,27809.1,27926.6,59323,1609005599999,212.24787437,2007,27409,98.07715950,0
1609005600000,2020-12-26 18:00:00,27942.1,28012.6,27667.9,27708.2,39207,1609009199999,140.74922369,1346,18538,66.53442972,0
1609009200000,2020-12-26 19:00:00,27704.1,28085.7,27668.0,28083.4,47951,1609012799999,171.80903682,1426,29788,106.67134272,0
1609012800000,2020-12-26 20:00:00,28083.9,28708.1,27951.7,28631.9,79782,1609016399999,281.40183043,2665,40808,143.90440785,0
1609016400000,2020-12-26 21:00:00,28625.7,29100.0,28537.8,28921.7,148308,1609019999999,515.07724770,4628,71499,248.28699793,0
1609020000000,2020-12-26 22:00:00,28930.0,29042.8,28208.6,28626.2,115474,1609023599999,404.21908580,2436,47223,164.93030693,0
1609023600000,2020-12-26 23:00:00,28620.9,28908.0,28569.0,28704.8,57661,1609027199999,200.61001956,1937,30502,106.13696849,0
1609027200000,2020-12-27 00:00:00,28710.3,29104.6,28705.4,28992.1,70772,1609030799999,244.84041590,2257,43066,149.00622819,0
1609030800000,2020-12-27 01:00:00,28983.6,29295.8,28764.9,28862.5,88596,1609034399999,305.12055078,3849,36741,126.58312916,0
1609034400000,2020-12-27 02:00:00,28856.1,29155.4,28756.1,28849.3,76361,1609037999999,263.38018914,2595,38132,131.53833146,0
1609038000000,2020-12-27 03:00:00,28850.1,28910.1,28680.4,28848.4,43574,1609041599999,151.17885370,1537,19665,68.22298382,0
1609041600000,2020-12-27 04:00:00,28851.4,29133.9,28844.1,29055.2,34096,1609045199999,117.50908024,1271,16562,57.07954618,0
1609045200000,2020-12-27 05:00:00,29044.5,29335.5,28991.9,29265.2,54580,1609048799999,187.28966891,2132,28591,98.09317936,0
1609048800000,2020-12-27 06:00:00,29269.7,30157.7,29269.7,30046.9,128183,1609052399999,430.00017702,3882,70053,235.00042904,0
1609052400000,2020-12-27 07:00:00,30053.9,30198.0,29820.2,30045.9,46660,1609055999999,155.40994906,1818,23291,77.58894427,0
1609056000000,2020-12-27 08:00:00,30043.8,30367.4,29487.8,29704.1,217081,1609059599999,723.01738096,4479,83132,276.17339571,0
1609059600000,2020-12-27 09:00:00,29685.5,30173.6,29300.0,30134.0,123403,1609063199999,413.21596930,3238,56638,189.53810421,0
1609063200000,2020-12-27 10:00:00,30126.8,30238.1,29953.0,30079.9,52144,1609066799999,173.35797713,2896,24180,80.38902080,0
1609066800000,2020-12-27 11:00:00,30083.6,30734.6,29111.0,29803.1,343269,1609070399999,1144.12657084,7675,174039,579.87536702,0
1609070400000,2020-12-27 12:00:00,29799.6,29799.6,28688.0,29393.0,237156,1609073999999,811.09157716,6298,118576,405.48741009,0
