Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1595574000000,2020-07-24 07:00:00,277.53,278.23,273.56,274.98,15405,1595577599999,561.09390067,461,8327,303.27589085,0
1595577600000,2020-07-24 08:00:00,274.98,276.08,274.92,275.74,13333,1595581199999,484.16278353,392,7017,254.80754109,0
1595581200000,2020-07-24 09:00:00,275.75,278.00,275.74,277.96,20094,1595584799999,725.13789887,543,10051,362.74204664,0
1595584800000,2020-07-24 10:00:00,277.96,283.11,277.38,280.80,35099,1595588399999,1253.73632423,492,16860,601.89064126,0
1595588400000,2020-07-24 11:00:00,280.79,283.57,279.90,282.38,27848,1595591999999,985.94781557,417,12367,437.99837563,0
1595592000000,2020-07-24 12:00:00,282.36,282.63,281.28,282.56,18261,1595595599999,647.14451748,343,8535,302.35034947,0
1595595600000,2020-07-24 13:00:00,282.58,282.68,272.35,277.07,51555,1595599199999,1842.37816720,468,10241,364.05540114,0
1595599200000,2020-07-24 14:00:00,277.11,280.19,276.88,279.92,29983,1595602799999,1074.62842152,401,14950,535.63552101,0
1595602800000,2020-07-24 15:00:00,279.90,284.79,279.24,283.30,44718,1595606399999,1589.05672083,704,21775,773.44072710,0
1595606400000,2020-07-24 16:00:00,283.31,289.94,280.63,285.51,55236,1595609999999,1946.46437223,551,40059,1409.63888085,0
1595610000000,2020-07-24 17:00:00,285.12,286.44,283.63,285.51,22565,1595613599999,791.34086403,399,10739,376.60942293,0
1595613600000,2020-07-24 18:00:00,285.50,296.27,285.47,288.63,42105,1595617199999,1454.67814473,570,31358,1082.47328642,0
1595617200000,2020-07-24 19:00:00,288.55,288.84,286.50,288.10,35205,1595620799999,1224.31170961,384,17195,597.42456257,0
1595620800000,2020-07-24 20:00:00,288.12,291.87,286.91,291.65,33750,1595624399999,1167.65714321,544,18692,647.05675495,0
1595624400000,2020-07-24 21:00:00,291.75,293.10,289.53,290.68,50201,1595627999999,1725.13623579,581,23417,804.80778798,0
1595628000000,2020-07-24 22:00:00,290.62,291.30,285.95,287.90,36889,1595631599999,1280.86715641,400,17652,613.13514569,0
1595631600000,2020-07-24 23:00:00,287.82,288.36,284.36,285.93,20675,1595635199999,721.47310927,395,10771,375.72567896,0
1595635200000,2020-07-25 00:00:00,285.94,288.72,285.94,287.22,19258,1595638799999,670.01503066,382,9474,329.65425750,0
1595638800000,2020-07-25 01:00:00,287.26,290.11,286.75,289.98,20038,1595642399999,696.21370452,399,11100,385.59188336,0
1595642400000,2020-07-25 02:00:00,289.97,291.40,289.60,291.19,17052,1595645999999,586.22404056,274,8916,306.55535139,0
1595646000000,2020-07-25 03:00:00,291.22,292.90,289.81,290.85,24034,1595649599999,823.68204411,411,12468,427.23528443,0
1595649600000,2020-07-25 04:00:00,290.59,291.56,289.81,291.46,19992,1595653199999,687.74964842,379,9426,324.25487893,0
1595653200000,2020-07-25 05:00:00,291.42,294.85,291.42,294.41,23383,1595656799999,796.19895049,385,11996,408.60857027,0
1595656800000,2020-07-25 06:00:00,294.39,296.26,291.06,293.92,24421,1595660399999,829.68426155,374,10703,363.40885371,0
1595660400000,2020-07-25 07:00:00,293.87,293.91,291.30,291.63,19699,1595663999999,673.32059247,430,11495,393.12134373,0
1595664000000,2020-07-25 08:00:00,291.63,293.25,291.00,293.25,15276,1595667599999,523.43341734,298,7157,245.26562740,0
1595667600000,2020-07-25 09:00:00,293.25,293.77,291.76,291.84,14930,1595671199999,509.80765430,250,4849,165.64596590,0
1595671200000,2020-07-25 10:00:00,291.87,292.01,290.30,291.00,17936,1595674799999,615.96758172,331,9678,332.36660934,0
1595674800000,2020-07-25 11:00:00,291.02,292.40,290.84,291.02,10111,1595678399999,346.71037171,170,5188,177.99381544,0
1595678400000,2020-07-25 12:00:00,291.00,293.09,290.97,292.79,17777,1595681999999,608.47962431,380,8353,285.94852952,0
1595682000000,2020-07-25 13:00:00,292.80,295.54,290.75,291.68,34053,1595685599999,1165.97983440,626,16790,575.03075793,0
1595685600000,2020-07-25 14:00:00,291.66,292.37,290.99,292.36,16556,1595689199999,567.52176067,347,8657,296.74935451,0
1595689200000,2020-07-25 15:00:00,292.30,294.49,292.13,294.35,23847,1595692799999,812.25945912,396,9198,313.49008360,0
1595692800000,2020-07-25 16:00:00,294.37,296.98,292.51,296.85,34824,1595696399999,1180.10550912,561,19583,663.57644671,0
1595696400000,2020-07-25 17:00:00,296.97,303.97,295.72,303.48,54277,1595699999999,1808.96565679,597,27255,907.87767915,0
1595700000000,2020-07-25 18:00:00,303.51,303.89,299.11,302.32,30941,1595703599999,1025.17917568,539,16458,545.48111227,0
1595703600000,2020-07-25 19:00:00,302.35,303.20,300.22,303.19,28651,1595707199999,948.24192706,499,13927,461.07381769,0
1595707200000,2020-07-25 20:00:00,303.11,314.84,303.09,312.73,49964,1595710799999,1615.76938470,864,24562,794.85256705,0
1595710800000,2020-07-25 21:00:00,312.72,314.23,306.00,309.98,55341,1595714399999,1780.77293412,628,20424,657.49690525,0
1595714400000,2020-07-25 22:00:00,309.98,313.47,309.10,312.85,30758,1595717999999,989.10566425,506,16744,538.71131936,0
1595718000000,2020-07-25 23:00:00,312.87,315.53,309.65,311.48,38077,1595721599999,1220.60232584,528,19672,630.77240480,0
1595721600000,2020-07-26 00:00:00,311.50,311.50,307.21,310.07,21722,1595725199999,701.37858284,229,7578,245.49650173,0
1595725200000,2020-07-26 01:00:00,310.02,311.16,308.80,311.10,17355,1595728799999,560.13036884,334,7849,253.35415060,0
1595728800000,2020-07-26 02:00:00,311.09,314.00,311.09,313.34,19622,1595732399999,627.99454351,341,9025,288.88087554,0
1595732400000,2020-07-26 03:00:00,313.30,313.30,310.89,310.96,27330,1595735999999,876.04959157,405,11749,376.75250807,0
1595736000000,2020-07-26 04:00:00,310.88,310.88,309.89,310.45,18540,1595739599999,597.48511860,285,9800,315.80228041,0
1595739600000,2020-07-26 05:00:00,310.42,311.08,310.14,310.43,17267,1595743199999,556.14285414,315,9519,306.61900991,0
1595743200000,2020-07-26 06:00:00,310.50,314.36,310.27,314.04,20401,1595746799999,654.57751215,437,10909,350.06222629,0
1595746800000,2020-07-26 07:00:00,314.06,318.91,312.69,318.24,25420,1595750399999,806.16399611,473,12258,388.87203293,0
1595750400000,2020-07-26 08:00:00,318.35,328.85,317.21,323.16,40873,1595753999999,1272.51140434,670,16488,513.07137207,0
1595754000000,2020-07-26 09:00:00,323.62,326.00,321.06,324.66,22305,1595757599999,688.62098960,405,9448,291.58025943,0
1595757600000,2020-07-26 10:00:00,324.64,331.71,315.41,319.71,48713,1595761199999,1515.96612800,672,28318,880.60563909,0
1595761200000,2020-07-26 11:00:00,319.60,321.50,317.57,319.61,23204,1595764799999,725.59675681,410,12035,376.12018026,0
1595764800000,2020-07-26 12:00:00,319.65,320.11,312.02,313.76,37104,1595768399999,1176.08770238,589,17916,568.14327459,0
1595768400000,2020-07-26 13:00:00,313.77,316.45,312.73,315.13,41920,1595771999999,1331.92992697,549,19039,605.08265940,0
1595772000000,2020-07-26 14:00:00,315.22,322.83,314.82,321.55,68143,1595775599999,2139.35548830,857,36824,1155.48935393,0
1595775600000,2020-07-26 15:00:00,321.31,322.61,318.88,319.84,49576,1595779199999,1545.92815927,710,23465,732.02276062,0
1595779200000,2020-07-26 16:00:00,319.76,323.26,314.91,314.91,98249,1595782799999,3076.51191111,1146,46312,1450.84016717,0
1595782800000,2020-07-26 17:00:00,314.91,319.40,314.91,316.47,62475,1595786399999,1967.79927526,870,31111,980.22220472,0
1595786400000,2020-07-26 18:00:00,316.34,316.83,312.15,316.79,51146,1595789999999,1625.32132946,785,24226,770.06913909,0
1595790000000,2020-07-26 19:00:00,316.67,317.48,314.36,315.23,32889,1595793599999,1041.59470905,561,16354,518.07639071,0
1595793600000,2020-07-26 20:00:00,315.14,319.54,314.47,318.66,39201,1595797199999,1236.12428703,700,20426,644.14559418,0
1595797200000,2020-07-26 21:00:00,318.58,321.22,317.38,318.19,28887,1595800799999,905.05755794,576,13858,434.49232435,0
1595800800000,2020-07-26 22:00:00,318.19,320.80,318.19,319.46,33778,1595804399999,1056.56886516,560,18168,568.48380422,0
1595804400000,2020-07-26 23:00:00,319.68,320.04,317.50,318.45,35987,1595807999999,1130.55830760,525,16185,508.44467962,0
1595808000000,2020-07-27 00:00:00,318.41,326.64,318.41,321.65,70344,1595811599999,2179.88702868,854,34839,1079.82745156,0
1595811600000,2020-07-27 01:00:00,321.60,334.53,321.54,332.39,158258,1595815199999,4796.97352357,1611,80436,2439.19354985,0
1595815200000,2020-07-27 02:00:00,332.50,333.31,329.26,332.37,57539,1595818799999,1736.62205046,717,29110,878.98240866,0
1595818800000,2020-07-27 03:00:00,332.37,337.77,332.30,333.33,159524,1595822399999,4759.76693355,1636,80913,2415.84904937,0
1595822400000,2020-07-27 04:00:00,333.20,335.67,329.87,331.43,82377,1595825999999,2475.69700991,880,42237,1269.63142555,0
1595826000000,2020-07-27 05:00:00,331.43,334.51,331.43,331.59,39368,1595829599999,1181.34697895,661,17664,530.07706153,0
1595829600000,2020-07-27 06:00:00,331.59,337.33,331.59,336.80,31826,1595833199999,952.01871279,654,18837,563.08179347,0
1595833200000,2020-07-27 07:00:00,336.69,336.80,328.12,328.18,61058,1595836799999,1837.87149554,996,26403,794.59593259,0
1595836800000,2020-07-27 08:00:00,328.10,330.95,325.21,330.93,95057,1595840399999,2894.64672409,1013,47174,1437.26988837,0
1595840400000,2020-07-27 09:00:00,330.83,333.63,329.97,333.05,48847,1595843999999,1472.28897783,640,27422,826.54386025,0
1595844000000,2020-07-27 10:00:00,333.07,334.14,331.28,333.22,42249,1595847599999,1269.63175816,527,19927,598.97637721,0
1595847600000,2020-07-27 11:00:00,333.05,335.38,331.50,334.23,51282,1595851199999,1539.15475167,2148,25894,777.18488484,0
1595851200000,2020-07-27 12:00:00,334.26,336.24,332.29,334.62,36246,1595854799999,1084.82171766,1639,19685,589.09918453,0
1595854800000,2020-07-27 13:00:00,334.68,336.21,331.01,334.10,65785,1595858399999,1971.90434743,3642,35199,1055.24999148,0
1595858400000,2020-07-27 14:00:00,334.03,334.03,326.80,327.66,111499,1595861999999,3380.65947013,5173,51417,1559.76303607,0
1595862000000,2020-07-27 15:00:00,327.58,328.05,318.13,321.56,265907,1595865599999,8216.09250554,5659,121792,3766.28664607,0
1595865600000,2020-07-27 16:00:00,321.71,328.54,321.71,324.43,119159,1595869199999,3660.71690219,5315,66150,2032.41906165,0
1595869200000,2020-07-27 17:00:00,324.38,333.16,324.38,333.16,132622,1595872799999,4023.65183000,4330,68488,2079.01361695,0
1595872800000,2020-07-27 18:00:00,333.64,334.87,330.90,332.44,28152,1595876399999,845.91059395,1210,13624,409.40609449,0
1595876400000,2020-07-27 19:00:00,332.43,334.28,330.96,333.86,20140,1595879999999,606.36853707,795,9145,275.30533967,0
1595880000000,2020-07-27 20:00:00,333.90,334.41,332.48,333.79,22762,1595883599999,682.93995450,451,11438,343.17969955,0
1595883600000,2020-07-27 21:00:00,333.71,333.71,329.60,331.93,47321,1595887199999,1426.76362914,769,23769,717.00136544,0
1595887200000,2020-07-27 22:00:00,331.94,344.26,330.54,337.62,81423,1595890799999,2410.95060557,1040,46497,1374.09056475,0
1595890800000,2020-07-27 23:00:00,337.63,338.07,323.11,331.49,268196,1595894399999,8097.96760287,2318,124595,3764.52522148,0
1595894400000,2020-07-28 00:00:00,331.51,336.80,331.51,334.43,66846,1595897999999,1997.37647755,1054,33446,999.75842362,0
1595898000000,2020-07-28 01:00:00,334.21,336.11,331.19,333.48,41802,1595901599999,1252.66284562,723,20627,618.08880162,0
1595901600000,2020-07-28 02:00:00,333.43,333.54,327.09,327.09,38770,1595905199999,1174.13041684,518,17768,537.63708513,0
1595905200000,2020-07-28 03:00:00,327.16,330.32,326.00,329.54,37464,1595908799999,1143.99439298,595,13437,409.53071725,0
1595908800000,2020-07-28 04:00:00,329.30,331.81,327.86,331.53,27078,1595912399999,822.36738635,1065,14699,446.44447064,0
1595912400000,2020-07-28 05:00:00,331.47,331.47,325.58,326.78,43056,1595915999999,1312.15580412,991,24896,758.90568023,0
1595916000000,2020-07-28 06:00:00,326.85,329.18,325.67,327.57,56749,1595919599999,1732.09122596,870,32779,1000.37818439,0
1595919600000,2020-07-28 07:00:00,327.63,329.41,326.07,327.68,122101,1595923199999,3717.32852935,1110,32480,989.79032224,0
1595923200000,2020-07-28 08:00:00,327.79,328.47,324.62,325.34,70735,1595926799999,2166.75109122,1090,35154,1077.39528281,0
1595926800000,2020-07-28 09:00:00,324.95,326.80,318.05,322.21,135259,1595930399999,4198.80109498,2362,65024,2019.03783311,0
1595930400000,2020-07-28 10:00:00,322.28,326.16,317.50,325.35,142206,1595933999999,4424.00961842,2452,73813,2297.16111573,0
1595934000000,2020-07-28 11:00:00,325.33,330.08,324.93,329.00,82855,1595937599999,2524.01569618,1686,46203,1407.90780280,0
1595937600000,2020-07-28 12:00:00,328.91,330.56,324.22,327.84,94897,1595941199999,2899.32933210,1956,53499,1635.08010015,0
1595941200000,2020-07-28 13:00:00,327.87,329.31,324.91,327.49,99643,1595944799999,3047.12937154,1428,49584,1516.62827514,0
1595944800000,2020-07-28 14:00:00,327.45,332.38,326.58,332.12,66151,1595948399999,2005.15537995,1445,36021,1092.15778881,0
1595948400000,2020-07-28 15:00:00,332.10,334.52,328.22,334.40,82110,1595951999999,2476.29118009,1473,42208,1272.95704386,0
1595952000000,2020-07-28 16:00:00,334.50,335.75,325.52,328.03,156150,1595955599999,4730.82671415,3548,81338,2465.70095396,0
1595955600000,2020-07-28 17:00:00,328.04,330.99,326.73,327.94,103628,1595959199999,3149.39485543,1472,45365,1379.07734667,0
