Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1597734000000,2020-08-18 07:00:00,430.00,435.00,410.00,430.30,20971,1597737599999,487.15446323,431,10099,234.55656155,0
1597737600000,2020-08-18 08:00:00,430.27,431.79,430.27,430.80,19568,1597741199999,454.17615317,406,8743,202.92617894,0
1597741200000,2020-08-18 09:00:00,430.86,431.13,428.71,429.35,50882,1597744799999,1183.71088374,714,23966,557.78860599,0
1597744800000,2020-08-18 10:00:00,429.75,432.69,428.59,431.90,72609,1597748399999,1686.18322729,948,36490,847.76165553,0
1597748400000,2020-08-18 11:00:00,432.09,432.89,426.99,427.45,85307,1597751999999,1980.69272391,1069,42773,993.49341073,0
1597752000000,2020-08-18 12:00:00,427.88,431.05,427.38,430.28,116223,1597755599999,2706.37300565,1357,56989,1327.66682221,0
1597755600000,2020-08-18 13:00:00,430.49,431.23,421.41,425.49,167863,1597759199999,3938.59574927,2052,82833,1944.84967360,0
1597759200000,2020-08-18 14:00:00,425.32,426.39,410.01,421.70,219982,1597762799999,5225.49491692,2695,109564,2605.57830290,0
1597762800000,2020-08-18 15:00:00,421.67,424.29,415.00,418.34,42737,1597766399999,1016.17284377,710,15578,371.66110731,0
1597766400000,2020-08-18 16:00:00,418.55,423.71,415.94,422.93,24836,1597769999999,590.38139720,458,16264,386.68976682,0
1597770000000,2020-08-18 17:00:00,422.93,424.00,421.63,422.24,21672,1597773599999,512.57658052,433,9874,233.56297652,0
1597773600000,2020-08-18 18:00:00,422.15,424.07,421.42,422.37,21365,1597777199999,505.33386018,436,9860,233.20641904,0
1597777200000,2020-08-18 19:00:00,422.38,425.31,422.37,422.90,15952,1597780799999,376.03901391,342,7487,176.49050131,0
1597780800000,2020-08-18 20:00:00,422.91,428.02,422.90,425.81,20538,1597784399999,482.49808034,413,9766,229.40407333,0
1597784400000,2020-08-18 21:00:00,425.78,427.66,425.78,426.40,21107,1597787999999,494.39172174,417,10169,238.18554561,0
1597788000000,2020-08-18 22:00:00,426.39,428.88,424.22,424.76,48634,1597791599999,1138.67985335,853,27679,648.17040548,0
1597791600000,2020-08-18 23:00:00,424.85,424.98,421.83,422.02,16692,1597795199999,394.50767385,326,8236,194.69930288,0
1597795200000,2020-08-19 00:00:00,422.72,425.00,421.50,424.63,20906,1597798799999,493.95716655,434,10837,256.03995831,0
1597798800000,2020-08-19 01:00:00,424.84,426.42,422.78,423.64,17769,1597802399999,418.23288725,353,7476,175.90833267,0
1597802400000,2020-08-19 02:00:00,423.62,423.62,420.07,420.80,12203,1597805999999,289.35892699,243,5381,127.55742514,0
1597806000000,2020-08-19 03:00:00,420.75,422.33,416.45,416.46,20030,1597809599999,477.07268145,414,10463,249.28981334,0
1597809600000,2020-08-19 04:00:00,416.46,417.31,406.10,412.63,374937,1597813199999,9106.22273688,3658,185765,4514.67073104,0
1597813200000,2020-08-19 05:00:00,412.66,414.20,407.55,409.30,145443,1597816799999,3537.81353063,1938,71867,1749.07215987,0
1597816800000,2020-08-19 06:00:00,409.08,410.60,403.00,409.74,296861,1597820399999,7301.03509657,3320,143749,3535.85680938,0
1597820400000,2020-08-19 07:00:00,409.50,414.12,408.59,413.83,122925,1597823999999,2987.17042299,1708,62427,1517.45532919,0
1597824000000,2020-08-19 08:00:00,413.87,415.62,412.03,412.87,97912,1597827599999,2366.34935796,1376,49210,1189.67558250,0
1597827600000,2020-08-19 09:00:00,412.90,416.66,412.88,413.86,118590,1597831199999,2856.95153345,1364,58711,1414.92308139,0
1597831200000,2020-08-19 10:00:00,413.84,414.53,410.11,413.22,95113,1597834799999,2306.07979358,1360,43165,1046.89519420,0
1597834800000,2020-08-19 11:00:00,413.30,416.57,412.01,414.26,97967,1597838399999,2363.71850091,1443,46961,1133.45689376,0
1597838400000,2020-08-19 12:00:00,414.09,415.04,411.88,413.48,62733,1597841999999,1515.77805318,935,32834,793.43747299,0
1597842000000,2020-08-19 13:00:00,413.44,416.18,410.06,412.93,84362,1597845599999,2042.20929799,1147,41469,1004.09154836,0
1597845600000,2020-08-19 14:00:00,412.94,414.89,408.03,409.10,73458,1597849199999,1781.87609738,1003,36095,875.85213671,0
1597849200000,2020-08-19 15:00:00,409.07,412.05,406.64,410.32,122035,1597852799999,2982.68326664,1587,56607,1383.51700447,0
1597852800000,2020-08-19 16:00:00,410.10,412.68,402.50,408.60,136341,1597856399999,3342.74721312,1432,80517,1975.80744617,0
