,percentage,tierBased,maker,taker,tiers,precision,limits,id,symbol,base,quote,baseId,quoteId,type,future,spot,active,info
1INCH-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH-PERP,1INCH-PERP,1INCH,USD,1INCH,USD,future,True,False,True,"{'name': '1INCH-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.4457', 'bid': '3.4434', 'ask': '3.4465', 'price': '3.4457', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': '1INCH', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.0031441963375935253', 'change24h': '-0.04096969022238303', 'changeBod': '-0.03592512800425282', 'quoteVolume24h': '10563693.9455', 'volumeUsd24h': '10563693.9455'}"
1INCH-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH-0625,1INCH-0625,1INCH,USD,1INCH,USD,future,True,False,True,"{'name': '1INCH-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.4364', 'bid': '3.4193', 'ask': '3.4345', 'price': '3.4345', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': '1INCH', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.007214287809026658', 'change24h': '-0.042381151540499096', 'changeBod': '-0.03595688542076012', 'quoteVolume24h': '152631.6313', 'volumeUsd24h': '152631.6313'}"
1INCH-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH-0924,1INCH-0924,1INCH,USD,1INCH,USD,future,True,False,True,"{'name': '1INCH-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.3639', 'bid': '3.3663', 'ask': '3.381', 'price': '3.3663', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': '1INCH', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.0013087837234896933', 'change24h': '-0.05134563900239538', 'changeBod': '-0.04420783645655877', 'quoteVolume24h': '49648.2197', 'volumeUsd24h': '49648.2197'}"
1INCH/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 1.0, 'price': 0.0001}","{'amount': {'min': 1.0, 'max': None}, 'price': {'min': 0.0001, 'max': None}, 'cost': {'min': None, 'max': None}}",1INCH/USD,1INCH/USD,1INCH,USD,1INCH,USD,spot,False,True,True,"{'name': '1INCH/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.0001', 'sizeIncrement': '1.0', 'minProvideSize': '1.0', 'last': '3.447', 'bid': '3.4467', 'ask': '3.4513', 'price': '3.447', 'type': 'spot', 'baseCurrency': '1INCH', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.0011036245353159852', 'change24h': '-0.0418878728076271', 'changeBod': '-0.03588510055100271', 'quoteVolume24h': '1020979.2502', 'volumeUsd24h': '1020979.2502'}"
AAPL-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAPL-0625,AAPL-0625,AAPL,USD,AAPL,USD,future,True,False,True,"{'name': 'AAPL-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '132.34', 'bid': '132.48', 'ask': '132.56', 'price': '132.48', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAPL', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '0.003940588056986966', 'change24h': '0.014162137334456098', 'changeBod': '0.023327668778000927', 'quoteVolume24h': '15958.7463', 'volumeUsd24h': '15958.7463'}"
AAPL-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAPL-0924,AAPL-0924,AAPL,USD,AAPL,USD,future,True,False,True,"{'name': 'AAPL-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '132.51', 'bid': '132.62', 'ask': '132.7', 'price': '132.62', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAPL', 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': False, 'change1h': '0.003936411809235428', 'change24h': '0.013836862625181561', 'changeBod': '0.02172573189522342', 'quoteVolume24h': '60394.585', 'volumeUsd24h': '60394.585'}"
AAPL/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAPL/USD,AAPL/USD,AAPL,USD,AAPL,USD,spot,False,True,True,"{'name': 'AAPL/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '132.61', 'bid': '132.53', 'ask': '132.57', 'price': '132.57', 'type': 'spot', 'baseCurrency': 'AAPL', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': True, 'tokenizedEquity': True, 'highLeverageFeeExempt': True, 'change1h': '0.004622612913003941', 'change24h': '0.014928801102434544', 'changeBod': '0.02307454854144158', 'quoteVolume24h': '22045.6901', 'volumeUsd24h': '22045.6901'}"
AAVE-PERP,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE-PERP,AAVE-PERP,AAVE,USD,AAVE,USD,future,True,False,True,"{'name': 'AAVE-PERP', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '299.61', 'bid': '299.53', 'ask': '299.71', 'price': '299.61', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAVE', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.010489038785834738', 'change24h': '0.017766152591888035', 'changeBod': '0.035924209943987276', 'quoteVolume24h': '20934984.2718', 'volumeUsd24h': '20934984.2718'}"
AAVE-0625,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE-0625,AAVE-0625,AAVE,USD,AAVE,USD,future,True,False,True,"{'name': 'AAVE-0625', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '294.4', 'bid': '299.58', 'ask': '300.58', 'price': '299.58', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAVE', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.01079694986166408', 'change24h': '0.013224202658369127', 'changeBod': '0.03104350220264317', 'quoteVolume24h': '39132.5904', 'volumeUsd24h': '39132.5904'}"
AAVE-0924,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE-0924,AAVE-0924,AAVE,USD,AAVE,USD,future,True,False,True,"{'name': 'AAVE-0924', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '302.72', 'bid': '303.34', 'ask': '304.36', 'price': '303.34', 'type': 'future', 'baseCurrency': None, 'quoteCurrency': None, 'underlying': 'AAVE', 'restricted': False, 'highLeverageFeeExempt': False, 'change1h': '0.01086376966142362', 'change24h': '0.015262065733984871', 'changeBod': '0.030261861902659375', 'quoteVolume24h': '119855.5707', 'volumeUsd24h': '119855.5707'}"
AAVE/USD,True,True,0.0002,0.0007000000000000001,"{'taker': [[0, 0.0007000000000000001], [1000000, 0.0006], [5000000, 0.00055], [10000000, 0.0005], [15000000, 0.00045], [35000000, 0.0004]], 'maker': [[0, 0.0002], [1000000, 0.0002], [5000000, 0.00015], [10000000, 0.00015], [15000000, 0.0001], [35000000, 0.0001]]}","{'amount': 0.01, 'price': 0.01}","{'amount': {'min': 0.01, 'max': None}, 'price': {'min': 0.01, 'max': None}, 'cost': {'min': None, 'max': None}}",AAVE/USD,AAVE/USD,AAVE,USD,AAVE,USD,spot,False,True,True,"{'name': 'AAVE/USD', 'enabled': True, 'postOnly': False, 'priceIncrement': '0.01', 'sizeIncrement': '0.01', 'minProvideSize': '0.01', 'last': '299.35', 'bid': '299.21', 'ask': '299.6', 'price': '299.35', 'type': 'spot', 'baseCurrency': 'AAVE', 'quoteCurrency': 'USD', 'underlying': None, 'restricted': False, 'highLeverageFeeExempt': True, 'change1h': '0.010020919090356973', 'change24h': '0.016882940417147906', 'changeBod': '0.03513261177772399', 'quoteVolume24h': '1701733.754', 'volumeUsd24h': '1701733.754'}"
