,symbol,status,baseAsset,baseAssetPrecision,quoteAsset,quotePrecision,quoteAssetPrecision,baseCommissionPrecision,quoteCommissionPrecision,icebergAllowed,ocoAllowed,quoteOrderQtyMarketAllowed,isSpotTradingAllowed,isMarginTradingAllowed
0,ETHBTC,TRADING,ETH,8,BTC,8,8,8,8,True,True,True,True,True
1,LTCBTC,TRADING,LTC,8,BTC,8,8,8,8,True,True,True,True,True
2,BNBBTC,TRADING,BNB,8,BTC,8,8,8,8,True,True,True,True,True
3,NEOBTC,TRADING,NEO,8,BTC,8,8,8,8,True,True,True,True,True
4,QTUMETH,TRADING,QTUM,8,ETH,8,8,8,8,True,True,True,True,False
5,EOSETH,TRADING,EOS,8,ETH,8,8,8,8,True,True,True,True,True
6,SNTETH,TRADING,SNT,8,ETH,8,8,8,8,True,True,True,True,False
7,BNTETH,TRADING,BNT,8,ETH,8,8,8,8,True,True,True,True,False
8,BCCBTC,BREAK,BCC,8,BTC,8,8,8,8,True,True,True,True,False
9,GASBTC,TRADING,GAS,8,BTC,8,8,8,8,True,True,True,True,False
10,BNBETH,TRADING,BNB,8,ETH,8,8,8,8,True,True,True,True,True
11,BTCUSDT,TRADING,BTC,8,USDT,8,8,8,8,True,True,True,True,True
12,ETHUSDT,TRADING,ETH,8,USDT,8,8,8,8,True,True,True,True,True
13,HSRBTC,BREAK,HSR,8,BTC,8,8,8,8,True,True,True,True,False
14,OAXETH,BREAK,OAX,8,ETH,8,8,8,8,True,True,True,True,False
15,DNTETH,BREAK,DNT,8,ETH,8,8,8,8,True,True,True,True,False
16,MCOETH,BREAK,MCO,8,ETH,8,8,8,8,True,True,True,True,False
17,ICNETH,BREAK,ICN,8,ETH,8,8,8,8,True,True,True,True,False
18,MCOBTC,BREAK,MCO,8,BTC,8,8,8,8,True,True,True,True,False
19,WTCBTC,TRADING,WTC,8,BTC,8,8,8,8,True,True,True,True,False
20,WTCETH,BREAK,WTC,8,ETH,8,8,8,8,True,True,True,True,False
