,symbol,pair,contractType,deliveryDate,onboardDate,status,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,marginAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,underlyingType,settlePlan,triggerProtect
0,BTCUSDT,BTCUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,BTC,USDT,USDT,2,3,8,8,COIN,0,0.0500
1,ETHUSDT,ETHUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ETH,USDT,USDT,2,3,8,8,COIN,0,0.0500
2,BCHUSDT,BCHUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,BCH,USDT,USDT,2,3,8,8,COIN,0,0.0500
3,XRPUSDT,XRPUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,XRP,USDT,USDT,4,1,8,8,COIN,0,0.0500
4,EOSUSDT,EOSUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,EOS,USDT,USDT,3,1,8,8,COIN,0,0.0500
5,LTCUSDT,LTCUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,LTC,USDT,USDT,2,3,8,8,COIN,0,0.0500
6,TRXUSDT,TRXUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,TRX,USDT,USDT,5,0,8,8,COIN,0,0.0500
7,ETCUSDT,ETCUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ETC,USDT,USDT,3,2,8,8,COIN,0,0.0500
8,LINKUSDT,LINKUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,LINK,USDT,USDT,3,2,8,8,COIN,0,0.0500
9,XLMUSDT,XLMUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,XLM,USDT,USDT,5,0,8,8,COIN,0,0.0500
10,ADAUSDT,ADAUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ADA,USDT,USDT,5,0,8,8,COIN,0,0.0500
11,XMRUSDT,XMRUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,XMR,USDT,USDT,2,3,8,8,COIN,0,0.0500
12,DASHUSDT,DASHUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,DASH,USDT,USDT,2,3,8,8,COIN,0,0.1500
13,ZECUSDT,ZECUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ZEC,USDT,USDT,2,3,8,8,COIN,0,0.1500
14,XTZUSDT,XTZUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,XTZ,USDT,USDT,3,1,8,8,COIN,0,0.0500
15,BNBUSDT,BNBUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,BNB,USDT,USDT,3,2,8,8,COIN,0,0.0500
16,ATOMUSDT,ATOMUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ATOM,USDT,USDT,3,2,8,8,COIN,0,0.1500
17,ONTUSDT,ONTUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ONT,USDT,USDT,4,1,8,8,COIN,0,0.1500
18,IOTAUSDT,IOTAUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,IOTA,USDT,USDT,4,1,8,8,COIN,0,0.1500
19,BATUSDT,BATUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,BAT,USDT,USDT,4,1,8,8,COIN,0,0.1500
20,VETUSDT,VETUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,VET,USDT,USDT,6,0,8,8,COIN,0,0.1500
21,NEOUSDT,NEOUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,NEO,USDT,USDT,3,2,8,8,COIN,0,0.1500
22,QTUMUSDT,QTUMUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,QTUM,USDT,USDT,3,1,8,8,COIN,0,0.1500
23,IOSTUSDT,IOSTUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,IOST,USDT,USDT,6,0,8,8,COIN,0,0.1500
24,THETAUSDT,THETAUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,THETA,USDT,USDT,4,1,8,8,COIN,0,0.1500
25,ALGOUSDT,ALGOUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ALGO,USDT,USDT,4,1,8,8,COIN,0,0.1500
26,ZILUSDT,ZILUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ZIL,USDT,USDT,5,0,8,8,COIN,0,0.1500
27,KNCUSDT,KNCUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,KNC,USDT,USDT,5,0,8,8,COIN,0,0.1500
28,ZRXUSDT,ZRXUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,ZRX,USDT,USDT,4,1,8,8,COIN,0,0.1500
29,COMPUSDT,COMPUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,COMP,USDT,USDT,2,3,8,8,COIN,0,0.1500
30,OMGUSDT,OMGUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,OMG,USDT,USDT,4,1,8,8,COIN,0,0.1500
31,DOGEUSDT,DOGEUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,DOGE,USDT,USDT,6,0,8,8,COIN,0,0.1500
32,SXPUSDT,SXPUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,SXP,USDT,USDT,4,1,8,8,COIN,0,0.1500
33,KAVAUSDT,KAVAUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,KAVA,USDT,USDT,4,1,8,8,COIN,0,0.1500
34,BANDUSDT,BANDUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,BAND,USDT,USDT,4,1,8,8,COIN,0,0.1500
35,RLCUSDT,RLCUSDT,PERPETUAL,2100-12-25 08:00:00,2019-09-25 08:00:00,TRADING,2.5000,5.0000,RLC,USDT,USDT,4,1,8,8,COIN,0,0.1500
