Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1580457600000,2020-01-31 08:00:00,0.05450,0.05494,0.05374,0.05458,14085844,1580461199999,764182.61620,5100,7758045,421020.76196,0
1580461200000,2020-01-31 09:00:00,0.05459,0.05559,0.05450,0.05473,17208236,1580464799999,945420.65450,3705,9521873,523504.16497,0
1580464800000,2020-01-31 10:00:00,0.05472,0.05484,0.05408,0.05432,20122070,1580468399999,1095549.10845,3499,11222926,611309.95760,0
1580468400000,2020-01-31 11:00:00,0.05432,0.05440,0.05375,0.05414,18659399,1580471999999,1009411.85918,3105,8910291,482331.23012,0
1580472000000,2020-01-31 12:00:00,0.05413,0.05419,0.05209,0.05252,25052847,1580475599999,1331761.26626,3304,9453658,504349.88358,0
1580475600000,2020-01-31 13:00:00,0.05255,0.05381,0.05212,0.05317,16790269,1580479199999,886889.42869,3012,7849350,415070.66467,0
1580479200000,2020-01-31 14:00:00,0.05320,0.05357,0.05248,0.05280,13573665,1580482799999,720004.93377,2402,6813600,361708.57416,0
1580482800000,2020-01-31 15:00:00,0.05280,0.05371,0.05278,0.05371,12486994,1580486399999,665489.58834,1893,6061537,323187.00578,0
1580486400000,2020-01-31 16:00:00,0.05367,0.05386,0.05274,0.05313,15606308,1580489999999,833340.32448,2225,6435893,343949.58755,0
1580490000000,2020-01-31 17:00:00,0.05314,0.05323,0.05264,0.05296,11502574,1580493599999,609629.64947,1718,4625439,245227.66852,0
1580493600000,2020-01-31 18:00:00,0.05296,0.05357,0.05288,0.05320,11179277,1580497199999,594630.36572,1739,6511176,346663.99016,0
1580497200000,2020-01-31 19:00:00,0.05323,0.05329,0.05295,0.05299,11520702,1580500799999,612340.89883,1482,6022782,320208.76156,0
1580500800000,2020-01-31 20:00:00,0.05302,0.05372,0.05302,0.05365,12525934,1580504399999,668935.33691,1624,5753162,307371.03872,0
1580504400000,2020-01-31 21:00:00,0.05365,0.05404,0.05352,0.05390,16940336,1580507999999,911829.54576,1971,7294382,392602.25809,0
1580508000000,2020-01-31 22:00:00,0.05386,0.05458,0.05366,0.05423,15381286,1580511599999,832353.34305,1700,6895669,373614.44769,0
1580511600000,2020-01-31 23:00:00,0.05421,0.05430,0.05358,0.05387,11997113,1580515199999,648833.96230,1707,5824709,315235.89041,0
1580515200000,2020-02-01 00:00:00,0.05383,0.05429,0.05360,0.05428,12106769,1580518799999,652978.47818,1642,4533336,244622.28818,0
1580518800000,2020-02-01 01:00:00,0.05431,0.05503,0.05426,0.05490,10987626,1580522399999,599594.82124,1633,5875609,320819.38519,0
1580522400000,2020-02-01 02:00:00,0.05490,0.05598,0.05478,0.05517,25025854,1580525999999,1385059.71773,2016,13073139,723813.08537,0
1580526000000,2020-02-01 03:00:00,0.05516,0.05538,0.05457,0.05482,13425624,1580529599999,737689.64505,1687,6383293,350939.40907,0
1580529600000,2020-02-01 04:00:00,0.05483,0.05540,0.05469,0.05495,13448954,1580533199999,740683.89744,1714,7717713,425067.27596,0
1580533200000,2020-02-01 05:00:00,0.05492,0.05508,0.05476,0.05480,11942184,1580536799999,655944.24469,1559,7280641,400005.73195,0
1580536800000,2020-02-01 06:00:00,0.05483,0.05506,0.05474,0.05478,11621543,1580540399999,637916.56797,1571,7787074,427538.07840,0
1580540400000,2020-02-01 07:00:00,0.05478,0.05523,0.05472,0.05492,9376922,1580543999999,515595.28532,1412,4144331,227949.00632,0
1580544000000,2020-02-01 08:00:00,0.05492,0.05508,0.05404,0.05409,14232001,1580547599999,777243.96781,1712,5940326,324679.36903,0
1580547600000,2020-02-01 09:00:00,0.05409,0.05424,0.05336,0.05399,15738409,1580551199999,849075.66348,1912,8085810,436360.07839,0
1580551200000,2020-02-01 10:00:00,0.05399,0.05425,0.05378,0.05390,11444698,1580554799999,617511.70213,1576,5523789,297973.93520,0
1580554800000,2020-02-01 11:00:00,0.05390,0.05398,0.05304,0.05350,19773574,1580558399999,1056406.84659,2003,8986704,480309.68550,0
1580558400000,2020-02-01 12:00:00,0.05350,0.05381,0.05339,0.05356,12678079,1580561999999,679305.59283,1605,6813985,365231.08387,0
1580562000000,2020-02-01 13:00:00,0.05356,0.05429,0.05343,0.05400,14474847,1580565599999,781661.35756,1850,7488802,404638.61620,0
1580565600000,2020-02-01 14:00:00,0.05400,0.05403,0.05343,0.05392,11344801,1580569199999,609674.79560,1825,4958670,266708.21565,0
1580569200000,2020-02-01 15:00:00,0.05392,0.05430,0.05379,0.05379,15075985,1580572799999,814886.06723,2071,7854635,424659.89524,0
1580572800000,2020-02-01 16:00:00,0.05379,0.05450,0.05379,0.05441,11897732,1580576399999,643871.39053,1934,7969761,431443.63623,0
1580576400000,2020-02-01 17:00:00,0.05442,0.05445,0.05402,0.05405,11839062,1580579999999,642219.12231,2260,5126306,278253.51141,0
1580580000000,2020-02-01 18:00:00,0.05405,0.05591,0.05402,0.05585,25265193,1580583599999,1393492.42883,3425,11530214,635458.90253,0
1580583600000,2020-02-01 19:00:00,0.05585,0.05622,0.05535,0.05610,28833344,1580587199999,1607346.23147,3739,14937247,833046.12740,0
1580587200000,2020-02-01 20:00:00,0.05610,0.05727,0.05584,0.05724,24579785,1580590799999,1391051.39679,4017,15367883,869832.95538,0
1580590800000,2020-02-01 21:00:00,0.05725,0.05745,0.05611,0.05633,22919492,1580594399999,1300011.17094,3522,9448761,537025.44877,0
1580594400000,2020-02-01 22:00:00,0.05634,0.05684,0.05615,0.05661,13108083,1580597999999,740787.92042,2781,6067627,343185.17920,0
1580598000000,2020-02-01 23:00:00,0.05662,0.05671,0.05585,0.05620,11454282,1580601599999,644411.74165,2685,4786432,269553.57973,0
1580601600000,2020-02-02 00:00:00,0.05616,0.05626,0.05520,0.05537,20405509,1580605199999,1133524.60183,2991,8184799,455062.68966,0
1580605200000,2020-02-02 01:00:00,0.05537,0.05631,0.05488,0.05612,20978547,1580608799999,1163239.21031,2880,11881466,659559.12180,0
1580608800000,2020-02-02 02:00:00,0.05611,0.05796,0.05484,0.05792,47380660,1580612399999,2670968.34265,3584,31345366,1771214.72187,0
1580612400000,2020-02-02 03:00:00,0.05786,0.05960,0.05686,0.05724,58618654,1580615999999,3400886.94791,4769,28135884,1636756.15399,0
1580616000000,2020-02-02 04:00:00,0.05730,0.05816,0.05641,0.05767,28131926,1580619599999,1614364.52161,4257,10699188,614796.45462,0
1580619600000,2020-02-02 05:00:00,0.05766,0.05864,0.05725,0.05810,27672206,1580623199999,1603455.97156,3481,13466031,780992.58381,0
1580623200000,2020-02-02 06:00:00,0.05818,0.05882,0.05766,0.05802,25559872,1580626799999,1487741.93270,2774,13786641,802701.75087,0
1580626800000,2020-02-02 07:00:00,0.05802,0.05870,0.05789,0.05798,15267475,1580630399999,888468.57091,1455,7313170,425838.16062,0
1580630400000,2020-02-02 08:00:00,0.05800,0.05843,0.05625,0.05743,47916493,1580633999999,2742240.89365,2778,17695706,1013021.25351,0
1580634000000,2020-02-02 09:00:00,0.05752,0.05788,0.05752,0.05769,10584775,1580637599999,610499.64830,905,5706080,329194.35136,0
1580637600000,2020-02-02 10:00:00,0.05769,0.05836,0.05737,0.05829,19656646,1580641199999,1137201.91659,1820,9524924,551475.30326,0
1580641200000,2020-02-02 11:00:00,0.05829,0.05855,0.05771,0.05794,13905807,1580644799999,810380.03700,1445,6336641,369309.99300,0
1580644800000,2020-02-02 12:00:00,0.05794,0.05850,0.05745,0.05785,34209172,1580648399999,1981965.33743,3023,16237295,941187.95458,0
1580648400000,2020-02-02 13:00:00,0.05785,0.05816,0.05766,0.05798,13297008,1580651999999,770331.06999,1109,7146195,414169.20494,0
1580652000000,2020-02-02 14:00:00,0.05801,0.05808,0.05737,0.05786,10977283,1580655599999,633748.26565,1124,4118212,237901.13873,0
1580655600000,2020-02-02 15:00:00,0.05786,0.05799,0.05740,0.05783,4813780,1580659199999,277938.75988,912,1418146,81942.71244,0
