Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1581321600000,2020-02-10 08:00:00,25.070,25.907,24.780,25.053,302773.53,1581325199999,7703234.67716,6617,166906.15,4252310.97583,0
1581325200000,2020-02-10 09:00:00,25.054,25.054,24.100,24.650,93888.13,1581328799999,2305673.24840,3077,40071.21,984049.98637,0
1581328800000,2020-02-10 10:00:00,24.653,24.898,24.031,24.816,93315.40,1581332399999,2283936.47120,2909,44478.66,1088480.94830,0
1581332400000,2020-02-10 11:00:00,24.819,24.890,24.262,24.555,76560.51,1581335999999,1876227.39948,2239,37879.11,927994.63298,0
1581336000000,2020-02-10 12:00:00,24.554,25.079,24.380,24.907,84379.44,1581339599999,2086423.47745,2360,44130.95,1091172.13347,0
1581339600000,2020-02-10 13:00:00,24.893,25.401,24.891,25.048,134892.72,1581343199999,3389155.25738,3746,64518.38,1621382.80166,0
1581343200000,2020-02-10 14:00:00,25.047,25.200,24.700,24.899,97969.95,1581346799999,2444097.30494,2365,43054.62,1074130.49074,0
1581346800000,2020-02-10 15:00:00,24.894,25.295,24.889,25.113,84963.91,1581350399999,2135756.84881,1903,41486.32,1042709.52943,0
1581350400000,2020-02-10 16:00:00,25.105,25.550,25.105,25.230,105287.17,1581353999999,2671489.03902,2758,50245.03,1274814.27440,0
1581354000000,2020-02-10 17:00:00,25.230,25.500,25.066,25.464,68290.29,1581357599999,1723038.10852,1731,31635.26,798255.23475,0
1581357600000,2020-02-10 18:00:00,25.463,25.486,25.273,25.273,38779.32,1581361199999,985493.83538,1095,14447.10,367117.83553,0
1581361200000,2020-02-10 19:00:00,25.280,25.503,25.263,25.411,41983.85,1581364799999,1066285.16096,1309,19601.80,497753.39146,0
1581364800000,2020-02-10 20:00:00,25.411,25.636,25.383,25.383,40500.68,1581368399999,1033413.35880,1437,20954.40,534744.15009,0
1581368400000,2020-02-10 21:00:00,25.383,25.410,25.200,25.322,37328.05,1581371999999,944872.15750,1290,16306.74,412762.32173,0
1581372000000,2020-02-10 22:00:00,25.322,25.339,24.923,25.123,50307.18,1581375599999,1264023.08893,1450,18250.23,458624.55131,0
1581375600000,2020-02-10 23:00:00,25.123,25.462,25.123,25.189,53871.73,1581379199999,1363012.61890,1603,27604.47,698481.46267,0
1581379200000,2020-02-11 00:00:00,25.190,25.264,24.800,24.941,109972.80,1581382799999,2752234.42625,3250,47791.61,1195715.84594,0
1581382800000,2020-02-11 01:00:00,24.966,25.136,24.895,24.967,56539.23,1581386399999,1412437.62295,1392,26350.89,658265.54253,0
1581386400000,2020-02-11 02:00:00,24.967,25.131,24.550,24.666,67344.62,1581389999999,1671518.73414,1647,25019.47,620928.11608,0
1581390000000,2020-02-11 03:00:00,24.666,24.890,24.479,24.722,97342.86,1581393599999,2400715.14057,2528,40034.23,987543.61448,0
1581393600000,2020-02-11 04:00:00,24.718,24.722,24.350,24.389,74331.86,1581397199999,1822709.96870,2103,32614.73,799718.70604,0
1581397200000,2020-02-11 05:00:00,24.381,24.571,24.375,24.375,58706.58,1581400799999,1434829.49308,1559,25323.85,618950.56540,0
1581400800000,2020-02-11 06:00:00,24.376,24.563,24.250,24.331,67720.00,1581404399999,1651757.91896,1744,29537.53,720324.58912,0
1581404400000,2020-02-11 07:00:00,24.330,24.560,24.280,24.530,48743.18,1581407999999,1190245.79690,1337,22882.62,558888.26329,0
1581408000000,2020-02-11 08:00:00,24.530,24.823,24.475,24.801,39530.60,1581411599999,971385.13252,1265,20387.94,501204.24696,0
1581411600000,2020-02-11 09:00:00,24.803,25.180,24.761,24.852,101457.95,1581415199999,2527162.09934,2275,48776.54,1215142.82093,0
1581415200000,2020-02-11 10:00:00,24.851,25.000,24.725,24.963,58515.34,1581418799999,1455879.92067,1574,28444.99,708041.51826,0
1581418800000,2020-02-11 11:00:00,24.963,25.000,24.725,24.975,46222.80,1581422399999,1150557.35655,1352,24590.06,612182.47521,0
1581422400000,2020-02-11 12:00:00,24.974,25.332,24.952,25.145,76441.31,1581425999999,1924921.82425,2053,36884.71,928564.44694,0
1581426000000,2020-02-11 13:00:00,25.146,25.243,24.900,24.954,40260.31,1581429599999,1010681.41265,1302,19260.73,483785.69279,0
1581429600000,2020-02-11 14:00:00,24.955,25.111,24.810,24.810,54153.07,1581433199999,1351602.86576,1617,26232.63,654747.25335,0
1581433200000,2020-02-11 15:00:00,24.814,25.290,24.814,25.094,165346.19,1581436799999,4149686.75201,4494,80888.87,2029564.46564,0
1581436800000,2020-02-11 16:00:00,25.081,25.250,24.825,25.117,179263.06,1581440399999,4492933.97344,4331,83254.79,2086501.97489,0
1581440400000,2020-02-11 17:00:00,25.116,25.864,25.116,25.782,96331.67,1581443999999,2456165.90934,2296,55106.80,1404625.83764,0
1581444000000,2020-02-11 18:00:00,25.781,25.804,25.278,25.320,111902.31,1581447599999,2859437.66894,2903,52494.61,1340740.30935,0
1581447600000,2020-02-11 19:00:00,25.332,25.600,25.298,25.600,50534.59,1581451199999,1284835.93723,1261,22859.60,581061.16323,0
1581451200000,2020-02-11 20:00:00,25.599,25.641,25.395,25.527,55314.80,1581454799999,1412086.52935,1483,26023.25,664258.84121,0
1581454800000,2020-02-11 21:00:00,25.523,25.535,25.266,25.366,48172.78,1581458399999,1223305.81354,1556,23092.74,586176.62715,0
1581458400000,2020-02-11 22:00:00,25.358,25.550,25.305,25.549,39243.87,1581461999999,998623.43147,1331,21832.54,555608.04349,0
