Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1615878000000,2021-03-16 07:00:00,59114.2,59286.4,58846.7,59284.3,12.438,1615881599999,735400.5998,128,5.159,304958.6851,0
1615881600000,2021-03-16 08:00:00,59242.2,60067.0,59200.5,59714.4,18.110,1615885199999,1080306.3497,200,8.757,522563.7174,0
1615885200000,2021-03-16 09:00:00,59714.9,60067.1,59489.6,59576.1,17.462,1615888799999,1042382.3697,201,8.299,495456.5547,0
1615888800000,2021-03-16 10:00:00,59562.8,59757.1,59384.5,59492.0,17.355,1615892399999,1032876.6817,195,6.356,378325.8032,0
1615892400000,2021-03-16 11:00:00,59501.1,59669.9,59095.5,59175.8,17.230,1615895999999,1022338.2212,194,8.094,480314.7410,0
1615896000000,2021-03-16 12:00:00,59150.6,59490.2,58420.1,58630.4,19.703,1615899599999,1161943.7637,222,8.466,498942.9482,0
1615899600000,2021-03-16 13:00:00,58486.4,59277.0,58420.1,58946.5,17.103,1615903199999,1007999.1938,198,9.167,540329.0854,0
1615903200000,2021-03-16 14:00:00,58963.5,59274.4,58879.7,59146.1,18.447,1615906799999,1090703.0890,187,8.818,521461.5957,0
1615906800000,2021-03-16 15:00:00,59170.6,59338.5,59019.6,59295.4,19.322,1615910399999,1143169.1860,219,10.041,594108.4722,0
1615910400000,2021-03-16 16:00:00,59292.2,59613.4,59090.1,59369.7,17.960,1615913999999,1065862.8260,200,9.299,551779.8606,0
1615914000000,2021-03-16 17:00:00,59385.7,59547.4,58789.0,58864.6,17.282,1615917599999,1021950.4259,193,8.223,486321.0144,0
1615917600000,2021-03-16 18:00:00,58868.5,59202.3,58834.5,59171.1,17.586,1615921199999,1037875.9605,192,8.624,509015.1883,0
1615921200000,2021-03-16 19:00:00,59165.1,59399.7,58936.7,59195.7,18.001,1615924799999,1064488.3003,232,7.862,464889.2812,0
1615924800000,2021-03-16 20:00:00,59242.1,60228.5,59191.4,60191.6,18.855,1615928399999,1128500.9527,207,7.945,475725.9722,0
1615928400000,2021-03-16 21:00:00,60226.9,60415.4,59927.4,60140.8,14.160,1615931999999,851979.3879,175,7.241,435729.8363,0
1615932000000,2021-03-16 22:00:00,60200.0,60609.0,60110.9,60134.6,18.156,1615935599999,1095909.0552,201,12.204,736719.5585,0
1615935600000,2021-03-16 23:00:00,60022.7,60698.5,59821.1,60698.5,19.368,1615939199999,1165392.4024,190,10.811,650745.1443,0
1615939200000,2021-03-17 00:00:00,60789.5,61072.9,60138.8,60359.9,27.104,1615942799999,1638252.5475,195,7.033,424228.0193,0
1615942800000,2021-03-17 01:00:00,60315.6,60327.7,59482.9,59994.0,19.687,1615946399999,1181903.2766,215,7.966,478774.5604,0
1615946400000,2021-03-17 02:00:00,59989.3,59989.3,59235.1,59540.3,20.458,1615949999999,1219927.5467,206,12.261,731220.6800,0
1615950000000,2021-03-17 03:00:00,59500.0,59872.5,59200.0,59218.6,19.349,1615953599999,1153555.9856,182,12.289,732972.7695,0
1615953600000,2021-03-17 04:00:00,59205.8,59617.2,59205.5,59283.3,18.242,1615957199999,1083323.4370,182,9.439,560495.7086,0
1615957200000,2021-03-17 05:00:00,59240.6,59864.6,58879.8,59837.4,16.331,1615960799999,968647.9104,197,8.945,530748.2286,0
1615960800000,2021-03-17 06:00:00,59849.7,60150.0,59754.0,60149.3,21.023,1615964399999,1261220.2926,244,10.995,659700.0232,0
1615964400000,2021-03-17 07:00:00,60149.4,60149.9,59619.8,59728.7,15.045,1615967999999,901414.3491,176,7.305,437486.3606,0
1615968000000,2021-03-17 08:00:00,59744.6,60005.7,59508.1,59802.8,19.108,1615971599999,1142139.1214,300,9.788,585048.1582,0
1615971600000,2021-03-17 09:00:00,59794.5,59873.0,58305.6,58554.5,20.018,1615975199999,1185501.2686,298,10.428,617606.7572,0
1615975200000,2021-03-17 10:00:00,58495.9,58992.0,58448.7,58784.1,18.427,1615978799999,1082971.1402,212,8.832,519029.1766,0
1615978800000,2021-03-17 11:00:00,58776.3,58999.6,58395.5,58566.1,15.986,1615982399999,938095.1135,214,8.387,492226.1692,0
1615982400000,2021-03-17 12:00:00,58603.5,59076.5,57671.3,58833.1,26.635,1615985999999,1554271.1251,270,17.855,1040154.5947,0
1615986000000,2021-03-17 13:00:00,58885.9,59190.1,58500.0,58836.7,18.530,1615989599999,1089771.2287,215,9.691,570374.6427,0
1615989600000,2021-03-17 14:00:00,58823.6,58823.6,58234.3,58237.0,16.543,1615993199999,967551.3009,189,9.395,549448.6986,0
1615993200000,2021-03-17 15:00:00,58187.9,58876.5,58002.7,58514.8,19.407,1615996799999,1135274.4855,259,10.617,620808.6508,0
1615996800000,2021-03-17 16:00:00,58538.2,59215.9,58028.7,58898.2,21.548,1616000399999,1264244.1012,253,9.913,582665.5993,0
1616000400000,2021-03-17 17:00:00,58939.5,59279.0,58744.9,59256.6,16.710,1616003999999,985903.5556,211,8.790,518765.0721,0
1616004000000,2021-03-17 18:00:00,59277.1,61540.0,59277.1,61540.0,26.467,1616007599999,1604129.8583,465,15.889,962271.5680,0
1616007600000,2021-03-17 19:00:00,61632.0,62000.0,61296.2,61772.0,20.848,1616011199999,1286218.5363,322,10.938,674828.1470,0
1616011200000,2021-03-17 20:00:00,61800.0,62218.6,61680.6,61740.3,20.383,1616014799999,1262091.1630,234,7.761,480739.3789,0
1616014800000,2021-03-17 21:00:00,61714.7,62749.9,61621.0,62424.1,18.211,1616018399999,1131313.3694,237,9.161,568872.5440,0
1616018400000,2021-03-17 22:00:00,62472.0,62966.3,62323.1,62340.4,21.310,1616021999999,1334922.3548,303,8.391,525394.8746,0
1616022000000,2021-03-17 23:00:00,62420.6,63130.5,62420.6,63086.2,17.548,1616025599999,1100800.4298,233,9.938,623247.8695,0
1616025600000,2021-03-18 00:00:00,63129.5,63684.2,63000.6,63106.7,22.237,1616029199999,1407666.1376,280,9.596,607901.9833,0
1616029200000,2021-03-18 01:00:00,63112.3,63499.2,63027.4,63264.9,14.511,1616032799999,917929.8330,183,6.926,438276.4722,0
1616032800000,2021-03-18 02:00:00,63269.7,63593.6,63200.1,63294.6,14.199,1616036399999,899861.3627,155,7.167,454320.6196,0
