Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1567962000000,2019-09-08 17:00:00,10000,10000,10000,10000,0.002,1567965599999,20,2,0.001,10,0
1567965600000,2019-09-08 18:00:00,10000,10000,10000,10000,0,1567969199999,0,0,0,0,0
1567969200000,2019-09-08 19:00:00,10344.77,10357.53,10337.43,10340.12,471.659,1567972799999,4879792.35614,562,0,0,0
1567972800000,2019-09-08 20:00:00,10340.12,10368.64,10334.54,10351.42,583.271,1567976399999,6037732.62590,731,0.034,351.97117,0
1567976400000,2019-09-08 21:00:00,10351.42,10391.90,10324.77,10391.90,689.759,1567979999999,7136798.50523,827,0.004,41.38500,0
1567980000000,2019-09-08 22:00:00,10392.59,10412.65,10375.58,10375.58,675.394,1567983599999,7020272.87987,821,0,0,0
1567983600000,2019-09-08 23:00:00,10375.58,10392.25,10366.57,10391.63,676.206,1567987199999,7021684.08263,811,0,0,0
1567987200000,2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63,0,1567990799999,0,0,0,0,0
1567990800000,2019-09-09 01:00:00,10391.63,10391.63,10391.63,10391.63,0,1567994399999,0,0,0,0,0
1567994400000,2019-09-09 02:00:00,10316.62,10316.65,10294.29,10296.04,96.462,1567997999999,994913.57830,112,0,0,0
1567998000000,2019-09-09 03:00:00,10295.81,10316.68,10267.37,10297.89,682.987,1568001599999,7035936.52531,789,0,0,0
1568001600000,2019-09-09 04:00:00,10297.89,10316.33,10251.51,10316.30,680.278,1568005199999,6998829.86825,800,0,0,0
1568005200000,2019-09-09 05:00:00,10316.30,10316.34,10299.80,10304.32,671.524,1568008799999,6923746.52835,838,0.001,10.30921,0
1568008800000,2019-09-09 06:00:00,10304.32,10305.51,10252.36,10256.09,680.520,1568012399999,7000049.21327,787,0,0,0
1568012400000,2019-09-09 07:00:00,10260.16,10273.71,10092.71,10149.47,632.467,1568015999999,6444656.97444,694,0,0,0
1568016000000,2019-09-09 08:00:00,10149.47,10170.74,10077.22,10147.84,1160.043,1568019599999,11767567.60192,1376,0.001,10.15690,0
1568019600000,2019-09-09 09:00:00,10147.84,10267.74,10143.68,10248.89,274.673,1568023199999,2797795.41903,311,0,0,0
1568023200000,2019-09-09 10:00:00,10249.57,10256.18,10196.76,10253.25,384.383,1568026799999,3930827.34190,347,0,0,0
1568026800000,2019-09-09 11:00:00,10247.69,10475.54,10222.75,10414.60,647.386,1568030399999,6717546.96884,390,280.131,2915757.25034,0
1568030400000,2019-09-09 12:00:00,10411.70,10411.70,10349.89,10356.75,844.568,1568033999999,8773026.60503,427,416.569,4327214.58884,0
1568034000000,2019-09-09 13:00:00,10356.61,10389.12,10317.61,10322.37,872.928,1568037599999,9033564.90308,443,463.508,4796854.37502,0
1568037600000,2019-09-09 14:00:00,10327.06,10363.82,10302.69,10337.55,830.825,1568041199999,8584177.19507,448,439.674,4543496.34973,0
1568041200000,2019-09-09 15:00:00,10333.86,10363.66,10308.84,10314.26,837.694,1568044799999,8652721.08945,420,434.720,4490888.96877,0
1568044800000,2019-09-09 16:00:00,10314.26,10333.55,10183.31,10255.44,1126.982,1568048399999,11563066.75109,506,748.411,7678996.67702,0
1568048400000,2019-09-09 17:00:00,10253.31,10296.30,10235.30,10263.33,913.252,1568051999999,9373905.81204,451,500.499,5138046.72137,0
1568052000000,2019-09-09 18:00:00,10261.38,10288.82,10250.56,10255.58,918.219,1568055599999,9428893.62252,486,448.156,4602554.73895,0
1568055600000,2019-09-09 19:00:00,10255.58,10323.13,10237.17,10308.87,956.876,1568059199999,9824621.27309,474,557.724,5727151.87261,0
1568059200000,2019-09-09 20:00:00,10307.80,10420.65,10228.28,10233.85,726.047,1568062799999,7476354.55643,337,332.034,3418940.66818,0
1568062800000,2019-09-09 21:00:00,10229.48,10343.79,10229.48,10289.48,516.808,1568066399999,5308976.25190,366,480.554,4937457.99994,0
1568066400000,2019-09-09 22:00:00,10289.48,10358.69,10289.48,10358.69,296.634,1568069999999,3062996.26917,268,296.634,3062996.26917,0
1568070000000,2019-09-09 23:00:00,10347.50,10382.64,10304.80,10307,72.817,1568073599999,753035.22305,226,53.835,557018.27586,0
1568073600000,2019-09-10 00:00:00,10307,10373.14,10307,10338.61,197.310,1568077199999,2042308.95080,339,164.635,1704482.72684,0
1568077200000,2019-09-10 01:00:00,10336.92,10382.97,10328.53,10328.53,322.633,1568080799999,3344060.98480,368,225.573,2338204.28434,0
1568080800000,2019-09-10 02:00:00,10328.04,10356.14,10281.43,10281.43,546.280,1568084399999,5642315.53547,557,496.692,5130011.07221,0
1568084400000,2019-09-10 03:00:00,10285.58,10320.45,10266.61,10307.25,481.232,1568087999999,4955126.42852,488,414.005,4263051.66183,0
1568088000000,2019-09-10 04:00:00,10309.17,10329.24,10304.57,10305.21,513.665,1568091599999,5295487.58033,580,490.935,5061040.39212,0
1568091600000,2019-09-10 05:00:00,10305.21,10306.67,10251.86,10262.85,312.001,1568095199999,3209239.86367,361,290.892,2992522.46617,0
1568095200000,2019-09-10 06:00:00,10263.35,10271.65,10226.81,10265.96,449.925,1568098799999,4613470.79408,416,404.271,4145426.16589,0
1568098800000,2019-09-10 07:00:00,10265.96,10304.82,10240.25,10272.46,430.492,1568102399999,4422442.76368,364,411.579,4228207.96370,0
1568102400000,2019-09-10 08:00:00,10271.93,10286.15,10247.20,10256.08,374.454,1568105999999,3843722.91803,355,332.883,3417046.91664,0
1568106000000,2019-09-10 09:00:00,10255.76,10290.01,10206.87,10248.67,356.750,1568109599999,3656178.83037,347,306.876,3145042.43342,0
1568109600000,2019-09-10 10:00:00,10255.07,10280.90,10222.99,10240.32,358.313,1568113199999,3673689.25226,319,336.516,3450125.38356,0
1568113200000,2019-09-10 11:00:00,10240.11,10259.52,10223.56,10254.56,319.484,1568116799999,3271864.44749,300,262.214,2685519.19048,0
1568116800000,2019-09-10 12:00:00,10252.70,10270.58,10226.02,10254.63,320.088,1568120399999,3279911.64845,331,235.320,2411445.78769,0
1568120400000,2019-09-10 13:00:00,10256.66,10258.78,10221.96,10241.79,308.964,1568123999999,3163226.44560,317,210.242,2152732.78357,0
1568124000000,2019-09-10 14:00:00,10237.92,10239.21,10176.69,10208.34,579.259,1568127599999,5917454.01250,881,197.980,2021731.37845,0
