symbol,fundingTime,fundingRate,Day
DOTUSDT,1597910400000,0.00010000,2020-08-20 08:00:00
DOTUSDT,1597939200000,0.00010000,2020-08-20 16:00:00
DOTUSDT,1597968000000,0.00010000,2020-08-21 00:00:00
DOTUSDT,1597996800000,0.00010000,2020-08-21 08:00:00
DOTUSDT,1598025600000,0.00010000,2020-08-21 16:00:00
DOTUSDT,1598054400000,0.00010000,2020-08-22 00:00:00
DOTUSDT,1598083200000,0.00152252,2020-08-22 08:00:00
DOTUSDT,1598112000000,0.00059014,2020-08-22 16:00:00
DOTUSDT,1598140800000,0.00146278,2020-08-23 00:00:00
DOTUSDT,1598169600000,0.00094542,2020-08-23 08:00:00
DOTUSDT,1598198400000,0.00175345,2020-08-23 16:00:00
DOTUSDT,1598227200000,0.00100486,2020-08-24 00:00:00
DOTUSDT,1598256000000,0.00151206,2020-08-24 08:00:00
DOTUSDT,1598284800000,0.00098471,2020-08-24 16:00:00
DOTUSDT,1598313600000,0.00020789,2020-08-25 00:00:00
DOTUSDT,1598342400000,0.00094866,2020-08-25 08:00:00
DOTUSDT,1598371200000,0.00036307,2020-08-25 16:00:00
DOTUSDT,1598400000000,0.00071638,2020-08-26 00:00:00
DOTUSDT,1598428800000,0.00123278,2020-08-26 08:00:00
DOTUSDT,1598457600000,0.00087605,2020-08-26 16:00:00
DOTUSDT,1598486400000,0.00139804,2020-08-27 00:00:00
DOTUSDT,1598515200000,0.00080406,2020-08-27 08:00:00
DOTUSDT,1598544000000,0.00089898,2020-08-27 16:00:00
DOTUSDT,1598572800000,0.00040777,2020-08-28 00:00:00
DOTUSDT,1598601600000,0.00032604,2020-08-28 08:00:00
DOTUSDT,1598630400000,0.00031897,2020-08-28 16:00:00
DOTUSDT,1598659200000,0.00029340,2020-08-29 00:00:00
DOTUSDT,1598688000000,0.00123961,2020-08-29 08:00:00
DOTUSDT,1598716800000,0.00073415,2020-08-29 16:00:00
DOTUSDT,1598745600000,0.00159891,2020-08-30 00:00:00
DOTUSDT,1598774400000,0.00185894,2020-08-30 08:00:00
DOTUSDT,1598803200000,0.00191828,2020-08-30 16:00:00
DOTUSDT,1598832000000,0.00204053,2020-08-31 00:00:00
DOTUSDT,1598860800000,0.00103170,2020-08-31 08:00:00
DOTUSDT,1598889600000,0.00132406,2020-08-31 16:00:00
DOTUSDT,1598918400000,0.00080415,2020-09-01 00:00:00
DOTUSDT,1598947200000,0.00115788,2020-09-01 08:00:00
DOTUSDT,1598976000000,0.00136882,2020-09-01 16:00:00
DOTUSDT,1599004800000,0.00165512,2020-09-02 00:00:00
DOTUSDT,1599033600000,0.00062099,2020-09-02 08:00:00
DOTUSDT,1599062400000,0.00010000,2020-09-02 16:00:00
DOTUSDT,1599091200000,0.00010000,2020-09-03 00:00:00
DOTUSDT,1599120000000,0.00018917,2020-09-03 08:00:00
DOTUSDT,1599148800000,0.00012161,2020-09-03 16:00:00
DOTUSDT,1599177600000,0.00010000,2020-09-04 00:00:00
DOTUSDT,1599206400000,0.00010000,2020-09-04 08:00:00
DOTUSDT,1599235200000,0.00010000,2020-09-04 16:00:00
DOTUSDT,1599264000000,0.00010000,2020-09-05 00:00:00
DOTUSDT,1599292800000,0.00010000,2020-09-05 08:00:00
DOTUSDT,1599321600000,0.00010000,2020-09-05 16:00:00
DOTUSDT,1599350400000,0.00010000,2020-09-06 00:00:00
DOTUSDT,1599379200000,0.00010000,2020-09-06 08:00:00
DOTUSDT,1599408000000,0.00010000,2020-09-06 16:00:00
DOTUSDT,1599436800000,0.00010000,2020-09-07 00:00:00
DOTUSDT,1599465600000,0.00010000,2020-09-07 08:00:00
DOTUSDT,1599494400000,0.00010000,2020-09-07 16:00:00
DOTUSDT,1599523200000,0.00010000,2020-09-08 00:00:00
DOTUSDT,1599552000000,0.00010000,2020-09-08 08:00:00
DOTUSDT,1599580800000,0.00010000,2020-09-08 16:00:00
DOTUSDT,1599609600000,0.00010000,2020-09-09 00:00:00
DOTUSDT,1599638400000,0.00010000,2020-09-09 08:00:00
DOTUSDT,1599667200000,0.00010000,2020-09-09 16:00:00
DOTUSDT,1599696000000,0.00010000,2020-09-10 00:00:00
DOTUSDT,1599724800000,0.00010000,2020-09-10 08:00:00
DOTUSDT,1599753600000,0.00010000,2020-09-10 16:00:00
DOTUSDT,1599782400000,0.00010000,2020-09-11 00:00:00
DOTUSDT,1599811200000,0.00010000,2020-09-11 08:00:00
DOTUSDT,1599840000000,0.00010000,2020-09-11 16:00:00
DOTUSDT,1599868800000,0.00010000,2020-09-12 00:00:00
DOTUSDT,1599897600000,0.00010000,2020-09-12 08:00:00
DOTUSDT,1599926400000,0.00010000,2020-09-12 16:00:00
DOTUSDT,1599955200000,0.00010000,2020-09-13 00:00:00
DOTUSDT,1599984000000,0.00010822,2020-09-13 08:00:00
DOTUSDT,1600012800000,0.00010000,2020-09-13 16:00:00
DOTUSDT,1600041600000,0.00010000,2020-09-14 00:00:00
DOTUSDT,1600070400000,0.00019947,2020-09-14 08:00:00
DOTUSDT,1600099200000,0.00033042,2020-09-14 16:00:00
DOTUSDT,1600128000000,0.00022414,2020-09-15 00:00:00
DOTUSDT,1600156800000,0.00010000,2020-09-15 08:00:00
DOTUSDT,1600185600000,0.00010000,2020-09-15 16:00:00
DOTUSDT,1600214400000,0.00012038,2020-09-16 00:00:00
DOTUSDT,1600243200000,0.00010000,2020-09-16 08:00:00
DOTUSDT,1600272000000,0.00015451,2020-09-16 16:00:00
DOTUSDT,1600300800000,0.00010000,2020-09-17 00:00:00
DOTUSDT,1600329600000,0.00040469,2020-09-17 08:00:00
DOTUSDT,1600358400000,0.00045066,2020-09-17 16:00:00
DOTUSDT,1600387200000,0.00053804,2020-09-18 00:00:00
DOTUSDT,1600416000000,0.00061089,2020-09-18 08:00:00
DOTUSDT,1600444800000,0.00042384,2020-09-18 16:00:00
DOTUSDT,1600473600000,0.00024640,2020-09-19 00:00:00
DOTUSDT,1600502400000,0.00030378,2020-09-19 08:00:00
DOTUSDT,1600531200000,0.00029433,2020-09-19 16:00:00
DOTUSDT,1600560000000,0.00010000,2020-09-20 00:00:00
DOTUSDT,1600588800000,0.00010632,2020-09-20 08:00:00
DOTUSDT,1600617600000,0.00010000,2020-09-20 16:00:00
DOTUSDT,1600646400000,0.00010000,2020-09-21 00:00:00
DOTUSDT,1600675200000,0.00010000,2020-09-21 08:00:00
DOTUSDT,1600704000000,0.00010000,2020-09-21 16:00:00
DOTUSDT,1600732800000,0.00010000,2020-09-22 00:00:00
DOTUSDT,1600761600000,0.00010000,2020-09-22 08:00:00
DOTUSDT,1600790400000,0.00010000,2020-09-22 16:00:00
DOTUSDT,1600819200000,0.00010000,2020-09-23 00:00:00
DOTUSDT,1600848000000,0.00010000,2020-09-23 08:00:00
DOTUSDT,1600876800000,0.00010000,2020-09-23 16:00:00
DOTUSDT,1600905600000,0.00010000,2020-09-24 00:00:00
DOTUSDT,1600934400000,0.00010000,2020-09-24 08:00:00
DOTUSDT,1600963200000,0.00010000,2020-09-24 16:00:00
DOTUSDT,1600992000000,0.00010000,2020-09-25 00:00:00
DOTUSDT,1601020800000,0.00010000,2020-09-25 08:00:00
DOTUSDT,1601049600000,0.00010000,2020-09-25 16:00:00
DOTUSDT,1601078400000,0.00010000,2020-09-26 00:00:00
DOTUSDT,1601107200000,0.00010000,2020-09-26 08:00:00
DOTUSDT,1601136000000,0.00010000,2020-09-26 16:00:00
DOTUSDT,1601164800000,0.00010000,2020-09-27 00:00:00
DOTUSDT,1601193600000,0.00010000,2020-09-27 08:00:00
DOTUSDT,1601222400000,0.00010000,2020-09-27 16:00:00
DOTUSDT,1601251200000,0.00010000,2020-09-28 00:00:00
DOTUSDT,1601280000000,0.00010000,2020-09-28 08:00:00
DOTUSDT,1601308800000,0.00010000,2020-09-28 16:00:00
DOTUSDT,1601337600000,0.00010000,2020-09-29 00:00:00
DOTUSDT,1601366400000,0.00010000,2020-09-29 08:00:00
DOTUSDT,1601395200000,0.00010000,2020-09-29 16:00:00
DOTUSDT,1601424000000,0.00010000,2020-09-30 00:00:00
DOTUSDT,1601452800000,0.00010000,2020-09-30 08:00:00
DOTUSDT,1601481600000,0.00010000,2020-09-30 16:00:00
DOTUSDT,1601510400000,0.00010000,2020-10-01 00:00:00
DOTUSDT,1601539200000,0.00010000,2020-10-01 08:00:00
DOTUSDT,1601568000000,0.00010000,2020-10-01 16:00:00
DOTUSDT,1601596800000,0.00010000,2020-10-02 00:00:00
DOTUSDT,1601625600000,0.00010000,2020-10-02 08:00:00
DOTUSDT,1601654400000,0.00010000,2020-10-02 16:00:00
DOTUSDT,1601683200000,0.00010000,2020-10-03 00:00:00
DOTUSDT,1601712000000,0.00010000,2020-10-03 08:00:00
DOTUSDT,1601740800000,0.00010000,2020-10-03 16:00:00
DOTUSDT,1601769600000,0.00010000,2020-10-04 00:00:00
