Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1574838000000,2019-11-27 07:00:00,146,146,146,146,0.010,1574841599999,1.46000,1,0,0,0
1574841600000,2019-11-27 08:00:00,125.03,145.01,125.03,133,0.080,1574845199999,10.92040,5,0.010,1.45010,0
1574845200000,2019-11-27 09:00:00,133,133,133,133,0,1574848799999,0,0,0,0,0
1574848800000,2019-11-27 10:00:00,142.20,144.52,142.10,142.62,2832.710,1574852399999,404054.16440,387,2595.490,370243.14710,0
1574852400000,2019-11-27 11:00:00,142.70,146.92,142.22,146.58,9079.800,1574855999999,1312099.69200,1107,5932.530,853652.59510,0
1574856000000,2019-11-27 12:00:00,146.53,149.34,145.73,147.38,7587.040,1574859599999,1121123.85480,1056,903.410,133572.36830,0
1574859600000,2019-11-27 13:00:00,147.38,148.51,147.26,148.26,8692.130,1574863199999,1286183.68350,934,3118.090,461276.09010,0
1574863200000,2019-11-27 14:00:00,148.35,149.14,146.80,147.65,9644.840,1574866799999,1423566.92030,920,1142.850,169063.72410,0
1574866800000,2019-11-27 15:00:00,147.61,151.64,147.32,150.65,8928.030,1574870399999,1329847.54370,998,802.760,119597.64580,0
1574870400000,2019-11-27 16:00:00,150.72,153.58,148.33,152.60,9478.530,1574873999999,1423684.93330,1128,731.070,109994.29440,0
1574874000000,2019-11-27 17:00:00,152.94,154.93,152.06,153.63,9082.120,1574877599999,1393589.87670,1180,778.390,119492.07310,0
1574877600000,2019-11-27 18:00:00,153.66,155.50,152.84,153.03,7819.330,1574881199999,1202070.80000,899,826.790,127115.45270,0
1574881200000,2019-11-27 19:00:00,153.01,154.92,152.84,153.87,8705.970,1574884799999,1339863.84190,923,5640.370,868721.07890,0
1574884800000,2019-11-27 20:00:00,153.84,155.66,152.91,153.23,9246.320,1574888399999,1425752.12750,949,8523.400,1314312.10250,0
1574888400000,2019-11-27 21:00:00,153.13,153.71,152.03,153.44,8738.500,1574891999999,1336380.98640,898,7978.890,1220254.97620,0
1574892000000,2019-11-27 22:00:00,153.29,154.29,152.63,152.63,7622.780,1574895599999,1169985.76380,854,6720.020,1031461.92110,0
1574895600000,2019-11-27 23:00:00,152.61,153.50,152.30,152.52,8453.650,1574899199999,1292215.41460,904,7589.540,1160155.42770,0
1574899200000,2019-11-28 00:00:00,154.29,154.47,154.21,154.21,36.520,1574902799999,5635.95790,6,20.250,3126.54060,0
1574902800000,2019-11-28 01:00:00,154.23,154.23,146.41,146.62,2207,1574906399999,335773.73350,705,236.240,36301.02990,0
1574906400000,2019-11-28 02:00:00,147.86,156.52,147.86,150.62,1467.270,1574909999999,221465.86680,776,351.470,54392.53110,0
1574910000000,2019-11-28 03:00:00,150.62,153.09,150.43,152.03,4733.420,1574913599999,720314.87200,824,1007.370,153355.08360,0
1574913600000,2019-11-28 04:00:00,151.93,152.45,151.16,151.49,4319.320,1574917199999,655350.96050,801,1294.270,196414.76010,0
1574917200000,2019-11-28 05:00:00,151.46,151.83,150.18,151.15,5465.570,1574920799999,825186.86160,866,1247.340,188392.37630,0
1574920800000,2019-11-28 06:00:00,151.15,153.02,150.45,152.17,5652.590,1574924399999,857811.62210,862,1198.560,182019.03510,0
1574924400000,2019-11-28 07:00:00,152.17,152.72,151.47,151.98,5889.240,1574927999999,896408.81250,858,1099.530,167383.19430,0
1574928000000,2019-11-28 08:00:00,152.04,152.76,151.47,152.70,6100.715,1574931599999,928976.24966,865,1116.349,170023.91555,0
1574931600000,2019-11-28 09:00:00,152.70,152.72,151.24,152.21,5234.200,1574935199999,795742.23480,883,1306.615,198686.01901,0
