symbol,fundingTime,fundingRate,Day
LTCUSDT,1578556800000,0.00010000,2020-01-09 08:00:00
LTCUSDT,1578585600000,0.00010000,2020-01-09 16:00:00
LTCUSDT,1578614400000,0.00010000,2020-01-10 00:00:00
LTCUSDT,1578643200000,-0.00016501,2020-01-10 08:00:00
LTCUSDT,1578672000000,0.00010000,2020-01-10 16:00:00
LTCUSDT,1578700800000,-0.00008340,2020-01-11 00:00:00
LTCUSDT,1578729600000,0.00010000,2020-01-11 08:00:00
LTCUSDT,1578758400000,0.00030815,2020-01-11 16:00:00
LTCUSDT,1578787200000,0.00009409,2020-01-12 00:00:00
LTCUSDT,1578816000000,0.00010000,2020-01-12 08:00:00
LTCUSDT,1578844800000,0.00010000,2020-01-12 16:00:00
LTCUSDT,1578873600000,0.00010000,2020-01-13 00:00:00
LTCUSDT,1578902400000,0.00010000,2020-01-13 08:00:00
LTCUSDT,1578931200000,0.00010000,2020-01-13 16:00:00
LTCUSDT,1578960000000,0.00010000,2020-01-14 00:00:00
LTCUSDT,1578988800000,0.00010000,2020-01-14 08:00:00
LTCUSDT,1579017600000,0.00010000,2020-01-14 16:00:00
LTCUSDT,1579046400000,0.00061688,2020-01-15 00:00:00
LTCUSDT,1579075200000,0.00038757,2020-01-15 08:00:00
LTCUSDT,1579104000000,0.00019672,2020-01-15 16:00:00
LTCUSDT,1579132800000,0.00010000,2020-01-16 00:00:00
LTCUSDT,1579161600000,0.00010000,2020-01-16 08:00:00
LTCUSDT,1579190400000,0.00010000,2020-01-16 16:00:00
LTCUSDT,1579219200000,0.00038011,2020-01-17 00:00:00
LTCUSDT,1579248000000,0.00089497,2020-01-17 08:00:00
LTCUSDT,1579276800000,0.00062640,2020-01-17 16:00:00
LTCUSDT,1579305600000,0.00072004,2020-01-18 00:00:00
LTCUSDT,1579334400000,0.00070400,2020-01-18 08:00:00
LTCUSDT,1579363200000,0.00086863,2020-01-18 16:00:00
LTCUSDT,1579392000000,0.00031874,2020-01-19 00:00:00
LTCUSDT,1579420800000,0.00043069,2020-01-19 08:00:00
LTCUSDT,1579449600000,0.00010000,2020-01-19 16:00:00
LTCUSDT,1579478400000,0.00010000,2020-01-20 00:00:00
LTCUSDT,1579507200000,0.00010000,2020-01-20 08:00:00
LTCUSDT,1579536000000,0.00010000,2020-01-20 16:00:00
LTCUSDT,1579564800000,0.00010000,2020-01-21 00:00:00
LTCUSDT,1579593600000,0.00010000,2020-01-21 08:00:00
LTCUSDT,1579622400000,0.00000000,2020-01-21 16:00:00
LTCUSDT,1579651200000,0.00000000,2020-01-22 00:00:00
LTCUSDT,1579680000000,0.00000000,2020-01-22 08:00:00
LTCUSDT,1579708800000,0.00005852,2020-01-22 16:00:00
LTCUSDT,1579737600000,0.00000000,2020-01-23 00:00:00
LTCUSDT,1579766400000,0.00000000,2020-01-23 08:00:00
LTCUSDT,1579795200000,0.00000000,2020-01-23 16:00:00
LTCUSDT,1579824000000,0.00050623,2020-01-24 00:00:00
LTCUSDT,1579852800000,0.00000000,2020-01-24 08:00:00
LTCUSDT,1579881600000,0.00021518,2020-01-24 16:00:00
LTCUSDT,1579910400000,0.00000000,2020-01-25 00:00:00
LTCUSDT,1579939200000,0.00032998,2020-01-25 08:00:00
LTCUSDT,1579968000000,0.00003385,2020-01-25 16:00:00
LTCUSDT,1579996800000,0.00000000,2020-01-26 00:00:00
LTCUSDT,1580025600000,0.00000000,2020-01-26 08:00:00
LTCUSDT,1580054400000,0.00047684,2020-01-26 16:00:00
LTCUSDT,1580083200000,0.00037236,2020-01-27 00:00:00
LTCUSDT,1580112000000,0.00000000,2020-01-27 08:00:00
LTCUSDT,1580140800000,0.00000000,2020-01-27 16:00:00
LTCUSDT,1580169600000,0.00000000,2020-01-28 00:00:00
LTCUSDT,1580198400000,0.00000000,2020-01-28 08:00:00
LTCUSDT,1580227200000,0.00000000,2020-01-28 16:00:00
LTCUSDT,1580256000000,0.00047398,2020-01-29 00:00:00
LTCUSDT,1580284800000,0.00031957,2020-01-29 08:00:00
LTCUSDT,1580313600000,0.00018885,2020-01-29 16:00:00
LTCUSDT,1580342400000,0.00064070,2020-01-30 00:00:00
LTCUSDT,1580371200000,0.00038925,2020-01-30 08:00:00
LTCUSDT,1580400000000,0.00020806,2020-01-30 16:00:00
LTCUSDT,1580428800000,0.00034859,2020-01-31 00:00:00
LTCUSDT,1580457600000,0.00043136,2020-01-31 08:00:00
LTCUSDT,1580486400000,0.00035987,2020-01-31 16:00:00
LTCUSDT,1580515200000,0.00004512,2020-02-01 00:00:00
LTCUSDT,1580544000000,0.00000000,2020-02-01 08:00:00
LTCUSDT,1580572800000,0.00000000,2020-02-01 16:00:00
LTCUSDT,1580601600000,0.00000000,2020-02-02 00:00:00
LTCUSDT,1580630400000,0.00034305,2020-02-02 08:00:00
LTCUSDT,1580659200000,0.00024822,2020-02-02 16:00:00
LTCUSDT,1580688000000,0.00010603,2020-02-03 00:00:00
LTCUSDT,1580716800000,0.00026918,2020-02-03 08:00:00
LTCUSDT,1580745600000,0.00066319,2020-02-03 16:00:00
LTCUSDT,1580774400000,0.00033326,2020-02-04 00:00:00
LTCUSDT,1580803200000,0.00060785,2020-02-04 08:00:00
LTCUSDT,1580832000000,0.00091288,2020-02-04 16:00:00
LTCUSDT,1580860800000,0.00083890,2020-02-05 00:00:00
LTCUSDT,1580889600000,0.00058266,2020-02-05 08:00:00
LTCUSDT,1580918400000,0.00037833,2020-02-05 16:00:00
LTCUSDT,1580947200000,0.00062993,2020-02-06 00:00:00
LTCUSDT,1580976000000,0.00079581,2020-02-06 08:00:00
LTCUSDT,1581004800000,0.00038130,2020-02-06 16:00:00
LTCUSDT,1581033600000,0.00022691,2020-02-07 00:00:00
LTCUSDT,1581062400000,0.00044607,2020-02-07 08:00:00
LTCUSDT,1581091200000,0.00067636,2020-02-07 16:00:00
LTCUSDT,1581120000000,0.00067884,2020-02-08 00:00:00
LTCUSDT,1581148800000,0.00043124,2020-02-08 08:00:00
LTCUSDT,1581177600000,0.00060968,2020-02-08 16:00:00
LTCUSDT,1581206400000,0.00084067,2020-02-09 00:00:00
LTCUSDT,1581235200000,0.00085242,2020-02-09 08:00:00
LTCUSDT,1581264000000,0.00137143,2020-02-09 16:00:00
LTCUSDT,1581292800000,0.00107550,2020-02-10 00:00:00
LTCUSDT,1581321600000,0.00124711,2020-02-10 08:00:00
LTCUSDT,1581350400000,0.00257734,2020-02-10 16:00:00
LTCUSDT,1581379200000,0.00114991,2020-02-11 00:00:00
LTCUSDT,1581408000000,0.00071154,2020-02-11 08:00:00
LTCUSDT,1581436800000,0.00089628,2020-02-11 16:00:00
LTCUSDT,1581465600000,0.00261646,2020-02-12 00:00:00
LTCUSDT,1581494400000,0.00380638,2020-02-12 08:00:00
LTCUSDT,1581523200000,0.00177824,2020-02-12 16:00:00
LTCUSDT,1581552000000,0.00186684,2020-02-13 00:00:00
LTCUSDT,1581580800000,0.00208011,2020-02-13 08:00:00
LTCUSDT,1581609600000,0.00121200,2020-02-13 16:00:00
LTCUSDT,1581638400000,0.00111041,2020-02-14 00:00:00
LTCUSDT,1581667200000,0.00137557,2020-02-14 08:00:00
LTCUSDT,1581696000000,0.00112572,2020-02-14 16:00:00
LTCUSDT,1581724800000,0.00232886,2020-02-15 00:00:00
LTCUSDT,1581753600000,0.00119330,2020-02-15 08:00:00
LTCUSDT,1581782400000,0.00156575,2020-02-15 16:00:00
LTCUSDT,1581811200000,0.00077213,2020-02-16 00:00:00
LTCUSDT,1581840000000,0.00059134,2020-02-16 08:00:00
LTCUSDT,1581868800000,0.00044673,2020-02-16 16:00:00
LTCUSDT,1581897600000,0.00012864,2020-02-17 00:00:00
LTCUSDT,1581926400000,0.00042877,2020-02-17 08:00:00
LTCUSDT,1581955200000,0.00087128,2020-02-17 16:00:00
LTCUSDT,1581984000000,0.00089338,2020-02-18 00:00:00
LTCUSDT,1582012800000,0.00075242,2020-02-18 08:00:00
LTCUSDT,1582041600000,0.00040888,2020-02-18 16:00:00
LTCUSDT,1582070400000,0.00035974,2020-02-19 00:00:00
LTCUSDT,1582099200000,0.00114557,2020-02-19 08:00:00
LTCUSDT,1582128000000,0.00100893,2020-02-19 16:00:00
LTCUSDT,1582156800000,0.00044646,2020-02-20 00:00:00
LTCUSDT,1582185600000,0.00010345,2020-02-20 08:00:00
LTCUSDT,1582214400000,0.00023802,2020-02-20 16:00:00
